structure_id,source_file,source_path,formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass
AgBi2S3Br,AgBi2S3Br.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBi2S3Br.cif,AgBi2S3Br,Indirect,1.2495,0.2069,Stable,No
AgBi2S3F,AgBi2S3F.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBi2S3F.cif,AgBi2S3F,Indirect,0.628,0.4265,Stable,No
AgBi2S3I,AgBi2S3I.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBi2S3I.cif,AgBi2S3I,Direct,1.2366,0.1248,Stable,No
AgBi2Se3Br,AgBi2Se3Br.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBi2Se3Br.cif,AgBi2Se3Br,Indirect,0.913,0.1123,Stable,No
AgBi2Se3F,AgBi2Se3F.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBi2Se3F.cif,AgBi2Se3F,Direct,0.2068,0.1019,Stable,No
AgBi2Se3I,AgBi2Se3I.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBi2Se3I.cif,AgBi2Se3I,Indirect,1.1473,0.1419,Stable,No
AgBi2Te3Br,AgBi2Te3Br.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBi2Te3Br.cif,AgBi2Te3Br,Indirect,0.1749,0.1462,Stable,No
AgBi2Te3Cl,AgBi2Te3Cl.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBi2Te3Cl.cif,AgBi2Te3Cl,Indirect,0.1158,0.0472,Stable,No
AgBi2Te3F,AgBi2Te3F.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBi2Te3F.cif,AgBi2Te3F,Indirect,0.1622,0.0971,Stable,No
AgBi2Te3I,AgBi2Te3I.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBi2Te3I.cif,AgBi2Te3I,Indirect,0.4232,0.1324,Stable,No
AgBiSBr2,AgBiSBr2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBiSBr2.cif,AgBiSBr2,Indirect,0.994,0.4958,Stable,No
AgBiSF2,AgBiSF2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBiSF2.cif,AgBiSF2,Indirect,0.6963,0.4873,Stable,No
AgBiSI2,AgBiSI2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBiSI2.cif,AgBiSI2,Indirect,0.9087,0.1889,Stable,No
AgBiSeBr2,AgBiSeBr2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBiSeBr2.cif,AgBiSeBr2,Indirect,0.7919,0.3526,Stable,No
AgBiSeCl2,AgBiSeCl2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBiSeCl2.cif,AgBiSeCl2,Direct,0.9205,0.2877,Stable,Yes
AgBiSeF2,AgBiSeF2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBiSeF2.cif,AgBiSeF2,Indirect,0.426,0.4358,Stable,No
AgBiSeI2,AgBiSeI2.cif,/mnt/d/AgBiSeCl2/Dual-backbone-Graph-Fusion-Network/02-data/dataset/predict_final_main6/AgBiSeI2.cif,AgBiSeI2,Indirect,0.7041,0.1437,Stable,No
