material_id,row_index,raw_gt,merged_gt,eh_class,bandgap,ehull
mp-1147581,400,2,1,0,0.0000,0.0479
mp-554805,1065,1,1,0,3.4263,0.0000
mp-1202157,1247,0,0,0,1.9890,0.0130
mp-559296,167,1,1,1,1.7123,0.2687
mp-1207331,1281,1,1,1,0.0647,2.9858
mp-680340,762,1,1,1,0.3199,0.2523
mp-31304,1564,1,1,0,1.0132,0.0067
mp-1213742,223,0,0,1,0.3019,0.2672
mp-29713,1409,1,1,0,2.1717,0.0108
mp-555121,267,1,1,0,3.5869,0.0517
mp-7738,881,0,0,0,1.7261,0.0000
mp-23575,946,1,1,0,1.9559,0.0000
mp-1234712,237,1,1,1,0.3839,0.1783
mp-1198919,1631,1,1,0,3.2962,0.0000
mp-699535,587,1,1,1,1.8759,0.1640
mp-1194971,1057,1,1,0,3.1026,0.0000
mp-559256,449,1,1,0,2.9165,0.0000
mp-1219558,852,1,1,0,1.4019,0.0483
mp-769602,132,1,1,0,2.2545,0.0907
mp-581171,1624,1,1,0,2.2652,0.0085
mp-1102514,915,1,1,0,3.6881,0.0021
mp-568726,1180,2,1,0,0.0000,0.0339
mp-558490,1011,1,1,0,4.0860,0.0000
mp-11014,1357,1,1,0,4.8881,0.0052
mp-555850,19,1,1,0,2.6141,0.0000
mp-1105645,654,1,1,0,0.2964,0.0983
mp-1227999,591,1,1,0,2.3721,0.0000
mp-559994,687,1,1,0,1.4091,0.0000
mp-1228759,1230,1,1,0,1.3865,0.0146
mp-1209893,636,2,1,0,0.0000,0.0259
mp-1013730,393,1,1,0,1.9571,0.0677
mp-1207325,642,1,1,1,1.6791,1.9467
mp-28772,610,0,0,0,1.6343,0.0124
mp-570590,1213,1,1,0,1.3886,0.0290
mp-1235303,1441,1,1,1,0.3837,0.2213
mp-559963,498,0,0,0,2.1196,0.0401
mp-12444,33,0,0,0,1.5126,0.0000
mp-1173025,787,1,1,0,0.3398,0.0867
mp-1204819,160,1,1,1,2.0034,0.1535
mp-541817,1314,1,1,0,0.6270,0.0000
mp-1191023,1511,1,1,0,2.4347,0.0020
mp-1228621,82,0,0,1,2.3670,0.2526
mp-29355,1333,1,1,0,5.2511,0.0000
mp-554879,680,1,1,0,0.4492,0.0288
mp-638749,1651,1,1,0,0.7702,0.0000
mp-1228012,720,1,1,0,1.3293,0.0107
mp-553914,1173,2,1,0,0.0000,0.0258
mp-570520,1142,1,1,0,2.5759,0.0000
mp-1205460,1226,1,1,1,0.7927,0.1645
mp-998366,1240,2,1,0,0.0000,0.0601
mp-556587,580,0,0,0,1.8191,0.0000
mp-1211452,650,1,1,0,2.7908,0.0000
mp-505373,1272,1,1,0,1.2345,0.0000
mp-1212974,778,1,1,1,1.1142,0.3235
mp-559303,601,0,0,0,0.5156,0.0755
mp-1180384,758,1,1,1,0.1464,0.2742
mp-557464,1162,1,1,0,2.4435,0.0328
mp-570486,1123,1,1,0,1.3286,0.0000
mp-1197762,1553,1,1,0,3.6276,0.0000
mp-1208893,866,1,1,0,0.2026,0.0783
mp-1180071,490,1,1,0,0.0440,0.0678
mp-653891,1323,0,0,0,0.9365,0.0007
mp-6407,936,0,0,0,1.7292,0.0147
mp-1195358,909,1,1,0,2.8658,0.0046
mp-559237,668,0,0,0,2.6640,0.0000
mp-1200639,1155,1,1,0,1.4358,0.0089
mp-28865,621,1,1,0,0.0327,0.0202
mp-561564,1520,1,1,0,2.3649,0.0181
mp-31263,296,1,1,0,1.2286,0.0000
mp-2229780,514,1,1,1,0.6457,0.4018
mp-1219891,960,1,1,1,0.0607,1.1424
mp-27313,877,1,1,0,5.0491,0.0000
mp-1218587,1502,1,1,0,3.3574,0.0000
mp-554153,528,0,0,1,1.5929,0.2990
mp-28113,150,0,0,1,3.3183,0.1419
mp-31037,1708,1,1,0,0.8278,0.0000
mp-23465,1415,1,1,0,2.7815,0.0000
mp-1079647,890,0,0,0,1.2693,0.0000
mp-1235086,90,1,1,1,0.2739,0.1839
mp-1190442,895,1,1,0,1.4261,0.0000
