ID,Band Gap (eV),Gap Type,Energy Above Hull (eV/atom)
mp-4937,3.4515,Indirect,0.2563
mp-1206456,0.0000,Metal,1.7375
mp-1206470,0.0000,Metal,1.7500
mp-1206628,0.0000,Metal,1.7205
mp-1206833,0.0000,Metal,1.9631
mp-1207254,0.0000,Metal,1.9850
mp-1207260,0.0000,Metal,2.1815
mp-1207264,0.0000,Metal,1.7294
mp-1207269,0.0000,Metal,1.9934
mp-1207299,0.0000,Metal,1.7504
mp-10086,1.3132,Direct,0.0000
mp-10930,1.2587,Direct,0.0000
mp-10931,1.2996,Direct,0.0000
mp-10932,1.3244,Direct,0.0000
mp-3799,0.0000,Metal,0.0000
mp-3992,1.2541,Direct,0.0000
mp-3931,1.2297,Direct,0.0000
mp-4973,0.0000,Metal,0.0000
mp-5394,1.4881,Direct,0.0000
mp-5760,1.2363,Direct,0.0000
mp-554025,4.0441,Indirect,0.2373
mp-555850,2.6141,Indirect,0.0000
mp-1207509,0.0000,Metal,0.0000
mp-3632,2.5593,Indirect,0.0265
mp-504830,2.4961,Indirect,0.4317
mp-1013939,0.0000,Metal,0.1905
mp-560222,5.3459,Indirect,0.0000
mp-6384,4.1099,Indirect,0.0118
mp-6560,3.9815,Indirect,0.0188
mp-1225522,0.4717,Indirect,0.0526
mp-7744,5.7916,Direct,0.0000
mp-1208929,0.0000,Metal,1.2942
mp-1078631,0.8544,Direct,0.0087
mp-1078562,1.2533,Direct,0.0072
mp-1080650,1.6223,Direct,0.0040
mp-1086652,1.4324,Direct,0.0000
mp-12444,1.5126,Direct,0.0000
mp-21354,0.0733,Indirect,0.0077
mp-1219531,0.9485,Indirect,0.1773
mp-555707,1.3880,Indirect,0.1256
mp-556512,2.1500,Indirect,0.2130
mp-561392,2.7210,Indirect,0.0000
mp-622195,5.1645,Direct,0.0000
mp-557035,5.2302,Indirect,0.0020
mp-1103970,2.0446,Direct,0.0007
mp-1219612,1.0603,Direct,0.2376
mp-1220908,5.0584,Indirect,0.0000
mp-1214204,0.2906,Direct,0.3201
mp-23598,1.9334,Indirect,0.0000
mp-650178,1.4592,Indirect,0.0000
mp-643794,3.0957,Indirect,0.5795
mp-1104492,2.0927,Direct,0.0103
mp-557001,2.4788,Indirect,0.1630
mp-1223822,4.9511,Indirect,0.0102
mp-1186075,5.1202,Indirect,0.0200
mp-547029,2.2518,Indirect,0.3319
mp-989388,0.0000,Metal,0.4716
mp-989521,0.0000,Metal,0.4596
mp-554012,4.6493,Indirect,0.0000
mp-1223363,4.1568,Direct,0.0241
mp-1229086,2.4337,Indirect,0.0000
mp-1220058,0.0153,Indirect,1.3512
mp-1190566,4.4542,Indirect,0.0000
mp-1209092,0.2695,Indirect,0.9926
mp-1219578,5.1068,Direct,0.0000
mp-1223405,5.1172,Direct,0.0000
mp-16801,0.2226,Indirect,0.0000
