fold,material_id
0,mp-1021492
0,mp-1207254
0,mp-1210823
0,mp-1219630
0,mp-27312
0,mp-27578
0,mp-27741
0,mp-28103
0,mp-29116
0,mp-29420
0,mp-561582
0,mp-581449
0,mp-624000
0,mp-653579
1,mp-1173441
1,mp-27928
1,mp-3799
1,mp-504630
1,mp-559724
1,mp-998299
2,mp-28865
2,mp-29096
2,mp-29968
2,mp-30971
2,mp-31037
2,mp-540656
2,mp-542662
2,mp-583476
2,mp-653758
2,mp-675987
3,mp-1101132
3,mp-1207301
3,mp-22963
3,mp-33723
3,mp-5394
3,mp-541073
3,mp-543029
3,mp-567252
3,mp-571404
3,mp-613545
4,mp-1212521
4,mp-23498
4,mp-28175
4,mp-29051
4,mp-540615
4,mp-557809
4,mp-571061
4,mp-680015
