formula,in_final_main6,in_excluded_training_overlap,final_file,excluded_file,dft_files,main6_type,main6_source_dir
AgBiSBr2,Yes,No,AgBiSBr2.cif,,AgBiSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgBiSCl2,No,Yes,,AgBiSCl2.cif,AgBiSCl2.vasp,,
AgBiSI2,Yes,No,AgBiSI2.cif,,AgBiSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgBiSeBr2,Yes,No,AgBiSeBr2.cif,,AgBiSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgBiSeCl2,Yes,No,AgBiSeCl2.cif,,AgBiSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgBiSeI2,Yes,No,AgBiSeI2.cif,,AgBiSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgBiTeBr2,Yes,No,AgBiTeBr2.cif,,AgBiTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgBiTeCl2,Yes,No,AgBiTeCl2.cif,,AgBiTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgBiTeI2,Yes,No,AgBiTeI2.cif,,AgBiTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgSbSBr2,Yes,No,AgSbSBr2.cif,,AgSbSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgSbSCl2,Yes,No,AgSbSCl2.cif,,AgSbSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgSbSI2,Yes,No,AgSbSI2.cif,,AgSbSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgSbSeBr2,Yes,No,AgSbSeBr2.cif,,AgSbSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgSbSeCl2,Yes,No,AgSbSeCl2.cif,,AgSbSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgSbSeI2,Yes,No,AgSbSeI2.cif,,AgSbSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgSbTeBr2,Yes,No,AgSbTeBr2.cif,,AgSbTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgSbTeCl2,Yes,No,AgSbTeCl2.cif,,AgSbTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AgSbTeI2,Yes,No,AgSbTeI2.cif,,AgSbTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlAgSBr2,Yes,No,AlAgSBr2.cif,,AgAlSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlAgSCl2,Yes,No,AlAgSCl2.cif,,AgAlSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlAgSI2,Yes,No,AlAgSI2.cif,,AgAlSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlAgSeBr2,Yes,No,AlAgSeBr2.cif,,AgAlSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlAgSeCl2,Yes,No,AlAgSeCl2.cif,,AgAlSeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlAgSeI2,Yes,No,AlAgSeI2.cif,,AgAlSeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlAgTeBr2,Yes,No,AlAgTeBr2.cif,,AgAlTeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlAgTeCl2,Yes,No,AlAgTeCl2.cif,,AgAlTeCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlAgTeI2,Yes,No,AlAgTeI2.cif,,AgAlTeI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final
AlAuSBr2,Yes,No,AlAuSBr2.cif,,AuAlSBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
AlAuSCl2,Yes,No,AlAuSCl2.cif,,AuAlSCl2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
AlAuSI2,Yes,No,AlAuSI2.cif,,AuAlSI2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
AlAuSeBr2,Yes,No,AlAuSeBr2.cif,,AuAlSeBr2.vasp,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_new_relaxed
