formula,type,source_dir,source_file,dest_file
AgBi2S3Cl,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgBi2S3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2S3Cl.cif
AgBi2Se3Cl,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgBi2Se3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Se3Cl.cif
BaAgSF,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/BaAgSF.cif,PROJECT_ROOT/Data/predict_final_main6/BaAgSF.cif
BaAgSeF,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/BaAgSeF.cif,PROJECT_ROOT/Data/predict_final_main6/BaAgSeF.cif
BaAgTeF,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/BaAgTeF.cif,PROJECT_ROOT/Data/predict_final_main6/BaAgTeF.cif
BaCuSF,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/BaCuSF.cif,PROJECT_ROOT/Data/predict_final_main6/BaCuSF.cif
BaCuSeF,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/BaCuSeF.cif,PROJECT_ROOT/Data/predict_final_main6/BaCuSeF.cif
BaCuTeF,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/BaCuTeF.cif,PROJECT_ROOT/Data/predict_final_main6/BaCuTeF.cif
BaSbSe2F,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/BaSbSe2F.cif,PROJECT_ROOT/Data/predict_final_main6/BaSbSe2F.cif
FeBiS2Br,TrainTemplate_B1C1_Ch2_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/FeBiS2Br.cif,PROJECT_ROOT/Data/predict_final_main6/FeBiS2Br.cif
In2AgS3Br,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/In2AgS3Br.cif,PROJECT_ROOT/Data/predict_final_main6/In2AgS3Br.cif
In2AgS3Cl,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/In2AgS3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/In2AgS3Cl.cif
In2AgSe3Br,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/In2AgSe3Br.cif,PROJECT_ROOT/Data/predict_final_main6/In2AgSe3Br.cif
