formula,final_file,excluded_file,training_occurrences,training_files
AgBi2S3Cl,AgBi2S3Cl.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/AgBi2S3Cl.cif,1,mp-558368.cif
AgBi2Se3Cl,AgBi2Se3Cl.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/AgBi2Se3Cl.cif,1,mp-569939.cif
AgBiSCl2,AgBiSCl2.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/AgBiSCl2.cif,1,mp-556094.cif
BaAgSF,BaAgSF.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BaAgSF.cif,1,mp-1086652.cif
BaAgSeF,BaAgSeF.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BaAgSeF.cif,1,mp-1079647.cif
BaAgTeF,BaAgTeF.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BaAgTeF.cif,1,mp-16742.cif
BaCuSF,BaCuSF.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BaCuSF.cif,1,mp-1080650.cif
BaCuSeF,BaCuSeF.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BaCuSeF.cif,1,mp-9195.cif
BaCuTeF,BaCuTeF.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BaCuTeF.cif,1,mp-13287.cif
BaSbSe2F,BaSbSe2F.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BaSbSe2F.cif,1,mp-558946.cif
BiSBr,BiSBr.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BiSBr.cif,1,mp-23324.cif
BiSCl,BiSCl.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BiSCl.cif,1,mp-23318.cif
BiSI,BiSI.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BiSI.cif,1,mp-23514.cif
BiSeBr,BiSeBr.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BiSeBr.cif,1,mp-569707.cif
BiSeCl,BiSeCl.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BiSeCl.cif,1,mp-610491.cif
BiSeI,BiSeI.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BiSeI.cif,1,mp-23020.cif
BiTeBr,BiTeBr.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BiTeBr.cif,1,mp-33723.cif
BiTeCl,BiTeCl.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BiTeCl.cif,1,mp-28944.cif
BiTeI,BiTeI.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/BiTeI.cif,1,mp-22965.cif
CsSbSI2,CsSbSI2.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/CsSbSI2.cif,7,mp-2646919.cif;mp-2646926.cif;mp-2646928.cif;mp-2646936.cif;mp-2646986.cif;mp-2647049.cif;mp-2647159.cif
CuBiSCl2,CuBiSCl2.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/CuBiSCl2.cif,1,mp-554238.cif
FeBiS2Br,FeBiS2Br.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/FeBiS2Br.cif,1,mp-1078379.cif
GaSeCl,GaSeCl.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/GaSeCl.cif,1,mp-1120728.cif
GaTeCl,GaTeCl.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/GaTeCl.cif,1,mp-27449.cif
In2AgS3Br,In2AgS3Br.cif,PROJECT_ROOT/Data/predict_final_main6_excluded_training_overlap/In2AgS3Br.cif,1,mp-1224043.cif
