formula,pattern,status,source
AgBi2S3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_final/AgBi2S3Br.cif
AgBi2S3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgBi2S3Cl.cif
AgBi2S3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_final/AgBi2S3F.cif
AgBi2S3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_final/AgBi2S3I.cif
AgBi2Se3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_final/AgBi2Se3Br.cif
AgBi2Se3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgBi2Se3Cl.cif
AgBi2Se3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_final/AgBi2Se3F.cif
AgBi2Se3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_final/AgBi2Se3I.cif
AgBi2Te3Br,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_final/AgBi2Te3Br.cif
AgBi2Te3Cl,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_final/AgBi2Te3Cl.cif
AgBi2Te3F,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_final/AgBi2Te3F.cif
AgBi2Te3I,A1C2_Ch3_X1,copied_relaxed,PROJECT_ROOT/Data/predict_final/AgBi2Te3I.cif
AgGeSBr,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgGeSBr.cif
AgGeSCl,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgGeSCl.cif
AgGeSF,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgGeSF.cif
AgGeSI,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgGeSI.cif
AgGeSeBr,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgGeSeBr.cif
AgGeSeCl,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgGeSeCl.cif
AgGeSeF,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgGeSeF.cif
AgGeSeI,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgGeSeI.cif
AgGeTeBr,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgGeTeBr.cif
AgGeTeCl,A1B1_Ch1_X1,copied_relaxed,PROJECT_ROOT/Data/predict_train_template_relaxed/AgGeTeCl.cif
