formula,reduced_formula,b_site_plus2,c_site_plus3,chalcogen_minus2,halide_minus1,template,charge_check
Mg2AlS2F3,Mg2AlS2F3,Mg,Al,S,F,Sn2SbS2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Mg2AlS2Cl3,Mg2AlS2Cl3,Mg,Al,S,Cl,Ge2SbS2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Mg2AlS2Br3,Mg2AlS2Br3,Mg,Al,S,Br,Ge2SbS2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Mg2AlS2I3,Mg2AlS2I3,Mg,Al,S,I,Ge2SbS2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Mg2AlSe2F3,Mg2AlSe2F3,Mg,Al,Se,F,Sn2SbSe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Mg2AlSe2Cl3,Mg2AlSe2Cl3,Mg,Al,Se,Cl,Ge2SbSe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Mg2AlSe2Br3,Mg2AlSe2Br3,Mg,Al,Se,Br,Ge2SbSe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Mg2AlSe2I3,Mg2AlSe2I3,Mg,Al,Se,I,Ge2SbSe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Mg2AlTe2F3,Mg2AlTe2F3,Mg,Al,Te,F,Sn2SbTe2F3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Mg2AlTe2Cl3,Mg2AlTe2Cl3,Mg,Al,Te,Cl,Ge2SbTe2Cl3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Mg2AlTe2Br3,Mg2AlTe2Br3,Mg,Al,Te,Br,Ge2SbTe2Br3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
Mg2AlTe2I3,Mg2AlTe2I3,Mg,Al,Te,I,Ge2SbTe2I3.cif,2*B(+2)+C(+3)+2*Ch(-2)+3*X(-1)=0
