file,formula,group,pattern,n_metals_or_non_chx,has_O,has_N,extra_elements,elements
mp-1006611.cif,Sb4S3N6(OF)12,oxy_nitride_chalcohalide,,3,True,True,N O,F N O S Sb
mp-10086.cif,YSF,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,F S Y
mp-1013726.cif,Cd4SF6,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Cd,Cd F S
mp-1013730.cif,Cd5(S2Cl)2,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Cd,Cd Cl S
mp-1013750.cif,Sn4SF6,selected_13_pure_ABC_Ch_X,B4_Ch1_X6,1,False,False,,F S Sn
mp-1013760.cif,Sn5(S2Cl)2,pure_ABC_Ch_X_other_charge_balanced_or_complex,B5_Ch4_X2,1,False,False,,Cl S Sn
mp-1013900.cif,TiSCl,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,Cl S Ti
mp-1013939.cif,TiSF,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,F S Ti
mp-1014204.cif,Sn5(S2Cl)2,pure_ABC_Ch_X_other_charge_balanced_or_complex,B5_Ch4_X2,1,False,False,,Cl S Sn
mp-1018667.cif,CeTeCl,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Ce,Ce Cl Te
mp-1018731.cif,HoSI,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Ho,Ho I S
mp-1018752.cif,LaTeCl,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,Cl La Te
mp-1018818.cif,NdTeCl,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Nd,Cl Nd Te
mp-1018941.cif,PrTeCl,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Pr,Cl Pr Te
mp-1021490.cif,Sn4SF6,selected_13_pure_ABC_Ch_X,B4_Ch1_X6,1,False,False,,F S Sn
mp-1021492.cif,Cd4SF6,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Cd,Cd F S
mp-1021494.cif,Cd5(S2Cl)2,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Cd,Cd Cl S
mp-1023371.cif,Sn4SF6,selected_13_pure_ABC_Ch_X,B4_Ch1_X6,1,False,False,,F S Sn
mp-1040450.cif,Li5P(S2Cl)2,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,P,Cl Li P S
mp-1040451.cif,Li20Si3P3S23Cl,other_chalcohalide_with_nonwhitelist_elements,,3,False,False,P Si,Cl Li P S Si
mp-1045028.cif,W3Se2ClO8,oxy_chalcohalide,,2,True,False,O,Cl O Se W
mp-1045114.cif,AlV3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Al Cl O Se V
mp-1045211.cif,Mo3Se2ClO8,oxy_chalcohalide,,2,True,False,O,Cl Mo O Se
mp-1045571.cif,AlNi3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Al Cl Ni O Se
mp-1045584.cif,YMo3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Cl Mo O Se Y
mp-1045601.cif,AlFe3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Al Cl Fe O Se
mp-1045980.cif,AlW3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Al Cl O Se W
mp-1046702.cif,MgCrSF5,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Cr,Cr F Mg S
mp-1046709.cif,ZnCrSF5,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Cr,Cr F S Zn
mp-1046747.cif,MgVSF5,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,F Mg S V
mp-1048178.cif,Sb3Se2ClO8,oxy_chalcohalide,,2,True,False,O,Cl O Sb Se
mp-1048225.cif,Bi3Se2ClO8,oxy_chalcohalide,,2,True,False,O,Bi Cl O Se
mp-1048241.cif,AlSb3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Al Cl O Sb Se
mp-1048242.cif,AlBi3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Al Bi Cl O Se
mp-1048246.cif,YBi3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Bi Cl O Se Y
mp-1048247.cif,YSn3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Cl O Se Sn Y
mp-1048276.cif,YSb3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Cl O Sb Se Y
mp-1048385.cif,YMn3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Cl Mn O Se Y
mp-1048488.cif,YCr3Se2ClO8,oxy_chalcohalide,,3,True,False,Cr O,Cl Cr O Se Y
mp-1048499.cif,AlSn3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Al Cl O Se Sn
mp-1048546.cif,V3Se2ClO8,oxy_chalcohalide,,2,True,False,O,Cl O Se V
mp-1048551.cif,YNi3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Cl Ni O Se Y
mp-1048555.cif,YCo3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Cl Co O Se Y
mp-1048587.cif,Ti3AlSe2ClO8,oxy_chalcohalide,,3,True,False,O,Al Cl O Se Ti
mp-1048591.cif,Cr3Se2ClO8,oxy_chalcohalide,,2,True,False,Cr O,Cl Cr O Se
mp-1048592.cif,YV3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Cl O Se V Y
mp-1048596.cif,YFe3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Cl Fe O Se Y
mp-1048604.cif,YTi3Se2ClO8,oxy_chalcohalide,,3,True,False,O,Cl O Se Ti Y
mp-1062795.cif,CoSI,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Co I S
mp-1078379.cif,FeBiS2Br,selected_13_pure_ABC_Ch_X,B1C1_Ch2_X1,2,False,False,,Bi Br Fe S
mp-1078562.cif,SrAgSF,selected_13_pure_ABC_Ch_X,A1B1_Ch1_X1,2,False,False,,Ag F S Sr
mp-1078631.cif,SrBiS2F,selected_13_pure_ABC_Ch_X,B1C1_Ch2_X1,2,False,False,,Bi F S Sr
mp-1079264.cif,Nb(SBr)2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Br Nb S
mp-1079481.cif,AlSBr3,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Al Br S
mp-1079487.cif,Nb(SBr)2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Br Nb S
mp-1079647.cif,BaAgSeF,selected_13_pure_ABC_Ch_X,A1B1_Ch1_X1,2,False,False,,Ag Ba F Se
mp-1080029.cif,Ba2Mn2Se2OF2,oxy_chalcohalide,,3,True,False,O,Ba F Mn O Se
mp-1080438.cif,SrAgTeF,selected_13_pure_ABC_Ch_X,A1B1_Ch1_X1,2,False,False,,Ag F Sr Te
mp-1080544.cif,GdSI,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Gd,Gd I S
mp-1080650.cif,BaCuSF,selected_13_pure_ABC_Ch_X,A1B1_Ch1_X1,2,False,False,,Ba Cu F S
mp-1080739.cif,Eu3(SF2)2,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Eu,Eu F S
mp-1086652.cif,BaAgSF,selected_13_pure_ABC_Ch_X,A1B1_Ch1_X1,2,False,False,,Ag Ba F S
mp-1091416.cif,SrCuTeF,selected_13_pure_ABC_Ch_X,A1B1_Ch1_X1,2,False,False,,Cu F Sr Te
mp-10930.cif,TbSF,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Tb,F S Tb
mp-10931.cif,HoSF,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Ho,F Ho S
mp-10932.cif,ErSF,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Er,Er F S
mp-1095263.cif,HoSeF,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Ho,F Ho Se
mp-1095437.cif,LuSeO3F,oxy_chalcohalide,,2,True,False,O,F Lu O Se
mp-1095595.cif,SbSI,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,I S Sb
mp-1097034.cif,Li20Si3P3S23Cl,other_chalcohalide_with_nonwhitelist_elements,,3,False,False,P Si,Cl Li P S Si
mp-1097035.cif,Li20Si3P3S23Cl,other_chalcohalide_with_nonwhitelist_elements,,3,False,False,P Si,Cl Li P S Si
mp-1100439.cif,YSeBr,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,Br Se Y
mp-1101132.cif,Te7As5I,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,As,As I Te
mp-1101144.cif,Te2As2SI6(OF6)2,oxy_chalcohalide,,2,True,False,As O,As F I O S Te
mp-11014.cif,K2TeOF4,oxy_chalcohalide,,2,True,False,O,F K O Te
mp-1101793.cif,YSeO3F,oxy_chalcohalide,,2,True,False,O,F O Se Y
mp-1102246.cif,LaSeCl,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,Cl La Se
mp-1102514.cif,ScSeO3F,oxy_chalcohalide,,2,True,False,O,F O Sc Se
mp-1102615.cif,CeTeCl,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Ce,Ce Cl Te
mp-1103189.cif,LaTeCl,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,Cl La Te
mp-1103194.cif,SbSBr,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,Br S Sb
mp-1103970.cif,FeSO4F,oxy_chalcohalide,,2,True,False,O,F Fe O S
mp-1104411.cif,Hg3Bi2(SCl4)2,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Hg,Bi Cl Hg S
mp-1104492.cif,FeSO4F,oxy_chalcohalide,,2,True,False,O,F Fe O S
mp-1104676.cif,Os(SeBr6)2,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Os,Br Os Se
mp-1104737.cif,MgTe(ClO)6,oxy_chalcohalide,,2,True,False,O,Cl Mg O Te
mp-1105005.cif,Ni3Se4(ClO5)2,oxy_chalcohalide,,2,True,False,O,Cl Ni O Se
mp-1105151.cif,Co3Se4(ClO5)2,oxy_chalcohalide,,2,True,False,O,Cl Co O Se
mp-1105330.cif,Cs5U2S4ICl8,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,U,Cl Cs I S U
mp-1105564.cif,Ni8Bi8SI,pure_ABC_Ch_X_other_charge_balanced_or_complex,,2,False,False,,Bi I Ni S
mp-1105645.cif,Ag3SBr,selected_13_pure_ABC_Ch_X,A3_Ch1_X1,1,False,False,,Ag Br S
mp-1105647.cif,Te6IrCl3,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Ir,Cl Ir Te
mp-1105779.cif,ZnHg3(SCl2)2,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Hg,Cl Hg S Zn
mp-1105941.cif,Ba3InSe4Cl,selected_13_pure_ABC_Ch_X,B3C1_Ch4_X1,2,False,False,,Ba Cl In Se
mp-1105952.cif,NaFeSO4F,oxy_chalcohalide,,3,True,False,O,F Fe Na O S
mp-1106129.cif,Bi4Te2Br2O9,oxy_chalcohalide,,2,True,False,O,Bi Br O Te
mp-1106130.cif,NaCoSeO6F,oxy_chalcohalide,,3,True,False,O,Co F Na O Se
mp-1120728.cif,GaSeCl,selected_13_pure_ABC_Ch_X,C1_Ch1_X1,1,False,False,,Cl Ga Se
mp-1147535.cif,Ca2Cu(SCl)2,selected_13_pure_ABC_Ch_X,B1B2_Ch2_X2,2,False,False,,Ca Cl Cu S
mp-1147540.cif,Ba2Cu(SBr)2,selected_13_pure_ABC_Ch_X,B1B2_Ch2_X2,2,False,False,,Ba Br Cu S
mp-1147542.cif,Ba2Cu(SBr)2,selected_13_pure_ABC_Ch_X,B1B2_Ch2_X2,2,False,False,,Ba Br Cu S
mp-1147576.cif,Sr2Cu(SCl)2,selected_13_pure_ABC_Ch_X,B1B2_Ch2_X2,2,False,False,,Cl Cu S Sr
mp-1147578.cif,Ba2Cu(SCl)2,selected_13_pure_ABC_Ch_X,B1B2_Ch2_X2,2,False,False,,Ba Cl Cu S
mp-1147579.cif,Sr2Cu(SCl)2,selected_13_pure_ABC_Ch_X,B1B2_Ch2_X2,2,False,False,,Cl Cu S Sr
mp-1147581.cif,Ba2Cu(SCl)2,selected_13_pure_ABC_Ch_X,B1B2_Ch2_X2,2,False,False,,Ba Cl Cu S
mp-1147584.cif,NaCuSI,selected_13_pure_ABC_Ch_X,A1B1_Ch1_X1,2,False,False,,Cu I Na S
mp-1147601.cif,CuPb2(SCl)2,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Pb,Cl Cu Pb S
mp-1147671.cif,CuSCl,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Cl Cu S
mp-1173025.cif,Ag3SI,selected_13_pure_ABC_Ch_X,A3_Ch1_X1,1,False,False,,Ag I S
mp-1173327.cif,SbSI2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,I S Sb
mp-1173335.cif,SbSI2,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,I S Sb
mp-1173441.cif,Re3Se2Br5,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Re,Br Re Se
mp-1173448.cif,Re3Se2Cl5,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Re,Cl Re Se
mp-1173580.cif,Re3Se2Br5,other_chalcohalide_with_nonwhitelist_elements,,1,False,False,Re,Br Re Se
mp-1173612.cif,Pr5Te7WCl3O23,oxy_chalcohalide,,3,True,False,O Pr,Cl O Pr Te W
mp-1173616.cif,Nd5Te7WCl3O23,oxy_chalcohalide,,3,True,False,Nd O,Cl Nd O Te W
mp-1173622.cif,Pr5Te7MoCl3O23,oxy_chalcohalide,,3,True,False,O Pr,Cl Mo O Pr Te
mp-1173624.cif,Nd5Te7MoCl3O23,oxy_chalcohalide,,3,True,False,Nd O,Cl Mo Nd O Te
mp-1173865.cif,Na21ZnS10Cl3O40,oxy_chalcohalide,,3,True,False,O,Cl Na O S Zn
mp-1179727.cif,RhSCl5,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,Cl Rh S
mp-1179755.cif,Sn(S4I)4,pure_ABC_Ch_X_other_charge_balanced_or_complex,,1,False,False,,I S Sn
mp-1179999.cif,Pb10SO13F2,oxy_chalcohalide,,2,True,False,O Pb,F O Pb S
mp-1180071.cif,Pb10S(ClO3)4,oxy_chalcohalide,,2,True,False,O Pb,Cl O Pb S
mp-1180384.cif,Nb6Tl3SBr17,other_chalcohalide_with_nonwhitelist_elements,,2,False,False,Tl,Br Nb S Tl
