pattern,schema,charge_rule,training_support,selected_for_current_generation,coverage_plan,theoretical_whitelist_formulas,generated_new_cifs,current_relaxed_cifs,already_existing_or_skipped,examples,current_available_unique_cifs_all_sources,predict_final_cifs,note
C1_Ch1_X1,C Ch X,"1*C(+3) + 1*Ch(-2) + 1*X(-1) = 0; |+|=3, |-|=3",59,No,Type2 base grid,240,0,0,,YSF;TiSCl;TiSF;LaTeCl;SbSI;YSeBr;LaSeCl;LaTeCl,240,240,"base grid counted in predict_final/type3 dirs, not in training-template generated_new_cifs"
A1C2_Ch3_X1,A C2 Ch3 X,"1*A(+1) + 2*C(+3) + 3*Ch(-2) + 1*X(-1) = 0; |+|=7, |-|=7",16,Yes,training-template supplement,1920,1899,226,21,In2AgTe3Br;In2AgTe3Cl;In2AgSe3Cl;In2AgTe3I;In2AgSe3Br;In2AgSe3I;In2CuTe3I;In2AgS3Br,1920,21,
A3_Ch1_X1,A3 Ch X,"3*A(+1) + 1*Ch(-2) + 1*X(-1) = 0; |+|=3, |-|=3",14,Yes,training-template supplement,96,75,14,21,Ag3SBr;Ag3SI;K3SI;Ag3SBr;Ag3SI;K3SI;Ag3SBr;Ag3SI,96,21,
B1C1_Ch2_X1,B C Ch2 X,"1*B(+2) + 1*C(+3) + 2*Ch(-2) + 1*X(-1) = 0; |+|=5, |-|=5",13,Yes,training-template supplement,3360,3299,266,61,FeBiS2Br;SrBiS2F;MnSbS2Br;MnSbS2Cl;SrSbSe2F;MnBiS2Br;MnBiS2Cl;BaSbSe2F,3348,61,
A1B1_Ch1_X1,A B Ch X,"1*A(+1) + 1*B(+2) + 1*Ch(-2) + 1*X(-1) = 0; |+|=3, |-|=3",12,Yes,training-template supplement,1344,1296,168,48,SrAgSF;BaAgSeF;SrAgTeF;BaCuSF;BaAgSF;SrCuTeF;NaCuSI;SrCuSF,1332,48,
A1C1_Ch1_X2,A C Ch X2,"1*A(+1) + 1*C(+3) + 1*Ch(-2) + 2*X(-1) = 0; |+|=4, |-|=4",9,No,Type1 base grid,1920,0,0,,CsSbSI2;CsSbSI2;CsSbSI2;CsSbSI2;CsSbSI2;CsSbSI2;CsSbSI2;CuBiSCl2,1920,1920,"base grid counted in predict_final/type3 dirs, not in training-template generated_new_cifs"
C3_Ch1_X7,C3 Ch X7,"3*C(+3) + 1*Ch(-2) + 7*X(-1) = 0; |+|=9, |-|=9",8,Yes,training-template supplement,240,232,24,8,Nb3TeCl7;Nb3SBr7;Ta3SeI7;Ta3TeI7;Nb3TeI7;Ta3SBr7;Nb3SI7;Nb3TeI7,240,8,
B1B2_Ch2_X2,B B2 Ch2 X2,"1*B(+2) + 2*B(+2) + 2*Ch(-2) + 2*X(-1) = 0; |+|=6, |-|=6",7,Yes,training-template supplement,2184,2152,203,32,Ca2Cu(SCl)2;Ba2Cu(SBr)2;Ba2Cu(SBr)2;Sr2Cu(SCl)2;Ba2Cu(SCl)2;Sr2Cu(SCl)2;Ba2Cu(SCl)2,2184,32,
C1C2_Ch4_X1,C C2 Ch4 X,"1*C(+3) + 2*C(+3) + 4*Ch(-2) + 1*X(-1) = 0; |+|=9, |-|=9",7,Yes,training-template supplement,4560,4531,390,29,In2BiSe4I;InBi2S4Br;InSb2S4Cl;InBi2S4Cl;InSb2S4Br;InSb2Se4Br;InBi2Se4Br,4560,29,
B3C1_Ch4_X1,B3 C Ch4 X,"3*B(+2) + 1*C(+3) + 4*Ch(-2) + 1*X(-1) = 0; |+|=9, |-|=9",6,Yes,training-template supplement,3360,3330,343,30,Ba3InSe4Cl;Ba3FeS4Br;Ba3GaS4Cl;Ba3GaS4Br;Ba3GaSe4Cl;Ba3InS4Cl,3348,30,
