pattern,training_support,selected,examples
C1_Ch1_X1,59,No,YSF;TiSCl;TiSF;LaTeCl;SbSI;YSeBr;LaSeCl;LaTeCl
A1C2_Ch3_X1,16,Yes,In2AgTe3Br;In2AgTe3Cl;In2AgSe3Cl;In2AgTe3I;In2AgSe3Br;In2AgSe3I;In2CuTe3I;In2AgS3Br
A3_Ch1_X1,14,Yes,Ag3SBr;Ag3SI;K3SI;Ag3SBr;Ag3SI;K3SI;Ag3SBr;Ag3SI
B1C1_Ch2_X1,13,Yes,FeBiS2Br;SrBiS2F;MnSbS2Br;MnSbS2Cl;SrSbSe2F;MnBiS2Br;MnBiS2Cl;BaSbSe2F
A1B1_Ch1_X1,12,Yes,SrAgSF;BaAgSeF;SrAgTeF;BaCuSF;BaAgSF;SrCuTeF;NaCuSI;SrCuSF
A1C1_Ch1_X2,9,No,CsSbSI2;CsSbSI2;CsSbSI2;CsSbSI2;CsSbSI2;CsSbSI2;CsSbSI2;CuBiSCl2
C3_Ch1_X7,8,Yes,Nb3TeCl7;Nb3SBr7;Ta3SeI7;Ta3TeI7;Nb3TeI7;Ta3SBr7;Nb3SI7;Nb3TeI7
B1B2_Ch2_X2,7,Yes,Ca2Cu(SCl)2;Ba2Cu(SBr)2;Ba2Cu(SBr)2;Sr2Cu(SCl)2;Ba2Cu(SCl)2;Sr2Cu(SCl)2;Ba2Cu(SCl)2
C1C2_Ch4_X1,7,Yes,In2BiSe4I;InBi2S4Br;InSb2S4Cl;InBi2S4Cl;InSb2S4Br;InSb2Se4Br;InBi2Se4Br
B3C1_Ch4_X1,6,Yes,Ba3InSe4Cl;Ba3FeS4Br;Ba3GaS4Cl;Ba3GaS4Br;Ba3GaSe4Cl;Ba3InS4Cl
A1C6C7_Ch8_X24,5,No,NaGa6Sb7(TeCl3)8;Ga6CuSb7(TeCl3)8;NaAl6Sb7(TeCl3)8;NaAl6Sb7(TeCl3)8;Ga6AgSb7(TeCl3)8
B4_Ch1_X6,4,Yes,Sn4SF6;Sn4SF6;Sn4SF6;Sn4SI6
A1B2_Ch2_X1,4,Yes,Sr2CuS2F;Ba2CuSe2F;Ba2AgTe2F;Ba2CuTe2F
B1B4C2_Ch6_X4,3,No,Ba4MnGa2(S3F2)2;Ba4MnIn2(S3F2)2;Ba4Ga2Fe(S3F2)2
C3_Ch4_X1,3,No,La3Te4Br;La3Se4Cl;Bi3Se4Br
A5_Ch2_X1,3,No,Ag5Te2Br;Ag5Te2Cl;Ag5Te2Cl
B2C1_Ch2_X3,3,No,Sn2SbSe2I3;Sn2SbS2I3;Sn2SbS2I3
A1B3C5_Ch10_X2,3,No,RbBa3Ga5(Se5Cl)2;KBa3Ga5(Se5Cl)2;CsBa3Ga5(Se5Cl)2
C1C1_Ch1_X4,3,No,AlBiSCl4;AlBiTeCl4;AlBiSeCl4
B5_Ch4_X2,2,No,Sn5(S2Cl)2;Sn5(S2Cl)2
A2C2C2_Ch3_X8,2,No,Al2Ag2Bi2S3Cl8;Al2Cu2Bi2S3Cl8
C7C8_Ch8_X29,2,No,Ga8Sb7Te8Cl29;Ga8Sb7Se8Cl29
A3C2_Ch4_X1,2,No,Cu3Bi2S4Br;Cu3Bi2S4Cl
C19_Ch27_X3,2,No,Bi19(S9I)3;Bi19(S9Br)3
B7C2_Ch6_X8,1,No,Ba7In2(Se3F4)2
C3C7_Ch8_X14,1,No,Ga3Sb7(S4Cl7)2
C2C5_Ch6_X9,1,No,Al2Sb5(Se2Br3)3
C2C3_Ch7_X1,1,No,In2Bi3Se7I
C7C7_Ch8_X26,1,No,Ga7Sb7(Te4Cl13)2
B9C4_Ch10_X10,1,No,Ba9In4(SF)10
B18C8_Ch21_X18,1,No,Ba18In8(S7F6)3
B6_Ch5_X2,1,No,Zn6S5Cl2
C1C2_Ch1_X7,1,No,Ta2NbTeI7
B3C1_Ch2_X5,1,No,Sn3SbSe2I5
C11_Ch12_X9,1,No,Bi11(Se4Cl3)3
B2B2_Ch1_X6,1,No,Ca2Ni2SF6
B2_Ch1_X2,1,No,Sn2SI2
C4_Ch5_X2,1,No,Sb4S5Cl2
A2C2_Ch3_X2,1,No,Ag2Bi2S3Cl2
A5C1_Ch3_X2,1,No,Li5SbS3I2
A6C1_Ch4_X1,1,No,K6InTe4Cl
B7_Ch2_X10,1,No,Sn7(SBr5)2
C5_Ch6_X3,1,No,Bi5(S2Cl)3
C7_Ch9_X3,1,No,Bi7(S3Cl)3
C1C1_Ch2_X2,1,No,LaSb(SBr)2
