formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass,source,structure_type,source_dir,source_file,dest_file,cif_path,bg_eV_raw,bg_eV_used,gap_type_used,ehull_numeric_used,screen_pass_bool
AgBi2S3Br,Indirect,1.2494,0.2072,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgBi2S3Br.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2S3Br.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2S3Br.cif,1.2494,1.2494,Indirect,0.0,False
AgBi2S3F,Indirect,0.6277,0.426,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgBi2S3F.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2S3F.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2S3F.cif,0.6277,0.6277,Indirect,0.0,False
AgBi2S3I,Direct,1.2364,0.1247,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgBi2S3I.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2S3I.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2S3I.cif,1.2364,1.2364,Direct,0.0,False
AgBi2Se3Br,Indirect,0.9131,0.1124,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgBi2Se3Br.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Se3Br.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Se3Br.cif,0.9131,0.9131,Indirect,0.0,False
AgBi2Se3F,Direct,0.2067,0.1017,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgBi2Se3F.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Se3F.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Se3F.cif,0.2067,0.2067,Direct,0.0,False
AgBi2Se3I,Indirect,1.1474,0.1419,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgBi2Se3I.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Se3I.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Se3I.cif,1.1474,1.1474,Indirect,0.0,False
AgBi2Te3Br,Indirect,0.1751,0.1461,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgBi2Te3Br.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Te3Br.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Te3Br.cif,0.1751,0.1751,Indirect,0.0,False
AgBi2Te3Cl,Indirect,0.1164,0.0472,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgBi2Te3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Te3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Te3Cl.cif,0.1164,0.1164,Indirect,0.0,False
AgBi2Te3F,Indirect,0.1626,0.0966,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgBi2Te3F.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Te3F.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Te3F.cif,0.1626,0.1626,Indirect,0.0,False
AgBi2Te3I,Indirect,0.424,0.1316,Stable,No,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgBi2Te3I.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Te3I.cif,PROJECT_ROOT/Data/predict_final_main6/AgBi2Te3I.cif,0.424,0.424,Indirect,0.0,False
