mp_id,formula,bg_eV,gap_type,gt_code,ehull,stable,fold0,fold1,fold2,fold3,fold4
mp-4937,,3.4515,Indirect,1,0.2563,Unstable,val,train,test,train,train
mp-10086,YSF,1.3132,Direct,0,0.0,Stable,val,train,test,val,train
mp-10930,TbSF,1.2587,Direct,0,0.0,Stable,train,test,val,train,train
mp-10931,HoSF,1.2996,Direct,0,0.0,Stable,train,test,train,val,train
mp-10932,ErSF,1.3244,Direct,0,0.0,Stable,train,test,train,train,train
mp-3992,PrSF,1.2541,Direct,0,0.0,Stable,test,train,val,train,val
mp-3931,SmSF,1.2297,Direct,0,0.0,Stable,train,val,train,test,train
mp-5394,LaSF,1.4881,Direct,0,0.0,Stable,test,train,train,val,train
mp-5760,NdSF,1.2363,Direct,0,0.0,Stable,train,test,train,train,train
mp-554025,,4.0441,Indirect,1,0.2373,Unstable,train,val,train,train,test
mp-555850,LuSF,2.6141,Indirect,1,0.0,Stable,train,train,val,train,test
mp-3632,YSF,2.5593,Indirect,1,0.0265,Stable,train,train,train,test,val
mp-504830,,2.4961,Indirect,1,0.4317,Unstable,train,val,train,train,test
mp-560222,Na3SO4F,5.3459,Indirect,1,0.0,Stable,val,test,train,val,train
mp-6384,RbSO2F,4.1099,Indirect,1,0.0118,Stable,train,train,test,val,val
mp-6560,KSO2F,3.9815,Indirect,1,0.0188,Stable,train,val,test,train,train
mp-1225522,Er3S3OF,0.4717,Indirect,1,0.0526,Stable,train,train,train,val,test
mp-7744,LiSO3F,5.7916,Direct,0,0.0,Stable,train,train,test,train,train
mp-1078631,SrBiS2F,0.8544,Direct,0,0.0087,Stable,train,test,train,val,train
mp-1078562,SrAgSF,1.2533,Direct,0,0.0072,Stable,train,train,train,test,train
mp-1080650,BaCuSF,1.6223,Direct,0,0.004,Stable,val,val,train,val,test
mp-1086652,BaAgSF,1.4324,Direct,0,0.0,Stable,train,train,train,train,test
mp-12444,SrCuSF,1.5126,Direct,0,0.0,Stable,test,train,train,train,train
mp-21354,EuCuSF,0.0733,Indirect,1,0.0077,Stable,train,test,train,train,train
mp-1219531,,0.9485,Indirect,1,0.1773,Unstable,train,train,train,train,test
mp-555707,,1.388,Indirect,1,0.1256,Unstable,train,train,train,test,val
mp-556512,,2.15,Indirect,1,0.213,Unstable,train,train,train,test,train
mp-561392,TcSO6F,2.721,Indirect,1,0.0,Stable,train,test,train,train,train
mp-622195,CsSO3F,5.1645,Direct,0,0.0,Stable,test,train,train,val,val
mp-557035,K3SO4F,5.2302,Indirect,1,0.002,Stable,train,train,test,train,train
mp-1103970,FeSO4F,2.0446,Direct,0,0.0007,Stable,train,train,train,train,test
mp-1219612,,1.0603,Direct,0,0.2376,Unstable,test,train,train,train,train
mp-1220908,NaSO3F,5.0584,Indirect,1,0.0,Stable,test,train,train,val,train
mp-1214204,Ca5S3O12F,0.2906,Direct,0,0.3201,Unstable,train,train,train,train,test
mp-23598,,1.9334,Indirect,1,0.0,Stable,val,train,train,train,test
mp-650178,,1.4592,Indirect,1,0.0,Stable,train,train,train,train,test
mp-643794,,3.0957,Indirect,1,0.5795,Unstable,train,train,train,test,train
mp-1104492,FeSO4F,2.0927,Direct,0,0.0103,Stable,train,train,train,test,val
mp-557001,RbSO4F,2.4788,Indirect,1,0.163,Unstable,test,train,train,train,train
mp-1223822,K3SO4F,4.9511,Indirect,1,0.0102,Stable,train,train,train,train,test
mp-1186075,Na3SO4F,5.1202,Indirect,1,0.02,Stable,test,train,val,train,train
mp-547029,Na3SO4F,2.2518,Indirect,1,0.3319,Unstable,train,train,train,test,train
mp-554012,,4.6493,Indirect,1,0.0,Stable,train,train,train,train,test
mp-1223363,KSO2F,4.1568,Direct,0,0.0241,Stable,train,test,train,train,train
mp-1229086,AgSO3F,2.4337,Indirect,1,0.0,Stable,train,train,train,train,test
mp-1220058,Re3S4O8F,0.0153,Indirect,1,1.3512,Unstable,test,train,train,train,val
mp-1190566,TlSO3F,4.4542,Indirect,1,0.0,Stable,train,train,train,train,test
mp-1209092,,0.2695,Indirect,1,0.9926,Unstable,train,test,train,train,train
mp-1219578,RbSO3F,5.1068,Direct,0,0.0,Stable,train,test,train,val,train
mp-1223405,KSO3F,5.1172,Direct,0,0.0,Stable,train,train,train,train,test
mp-16801,GdSO4F,0.2226,Indirect,1,0.0,Stable,train,val,test,train,train
mp-17769,YSO4F,5.8517,Indirect,1,0.0069,Stable,test,train,train,val,train
mp-24463,,5.4991,Indirect,1,0.0,Stable,val,val,train,train,test
mp-6368,CsSO2F,4.4107,Indirect,1,0.0144,Stable,train,test,train,train,val
mp-1222350,LiMgSO4F,5.9657,Indirect,1,0.0112,Stable,train,test,val,train,train
mp-1222389,LiFeSO4F,3.4481,Indirect,1,0.0092,Stable,train,test,train,train,val
mp-1105952,NaFeSO4F,4.1937,Indirect,1,0.0,Stable,train,train,test,train,train
mp-1189154,NaZnSO4F,4.2143,Indirect,1,0.0049,Stable,train,train,val,test,train
mp-1189612,NaCuSO4F,0.4494,Indirect,1,0.0,Stable,test,train,train,train,train
mp-1194644,KFeSO4F,3.925,Indirect,1,0.0,Stable,train,train,test,train,train
mp-1195676,LiCuSO4F,0.4309,Indirect,1,0.0,Stable,train,train,train,test,train
mp-1205341,NaCoSO4F,2.1368,Indirect,1,0.0,Stable,train,val,test,val,train
mp-864766,NaMgSO4F,5.6118,Direct,0,0.0,Stable,train,test,train,train,train
mp-557399,KSnSO4F,3.8899,Indirect,1,0.0073,Stable,train,test,val,train,val
mp-558959,,1.8838,Indirect,1,0.3428,Unstable,train,train,train,test,train
mp-677510,LiMgSO4F,0.8786,Indirect,1,0.605,Unstable,train,train,train,train,test
mp-942700,LiNiSO4F,4.2066,Indirect,1,0.0015,Stable,test,train,train,train,train
mp-942702,LiMnSO4F,4.1107,Indirect,1,0.0124,Stable,train,train,test,train,train
mp-943492,LiFeSO4F,1.3691,Direct,0,0.0066,Stable,train,train,val,test,train
mp-23657,Na6S2ClO8F,4.7742,Indirect,1,0.0,Stable,train,train,test,train,train
mp-1198997,,3.8048,Direct,0,0.1611,Unstable,train,test,train,val,train
mp-560102,RbUSO6F,2.2159,Direct,0,0.0,Stable,train,train,train,test,train
mp-729140,USNO6F,0.5436,Direct,0,0.3688,Unstable,train,train,train,train,test
mp-730446,,5.7307,Direct,0,0.0,Stable,test,val,train,train,train
mp-1191868,,4.3293,Indirect,1,0.2785,Unstable,train,val,train,test,train
mp-1203440,LiZnSO4F,4.2073,Indirect,1,0.0,Stable,train,train,train,train,test
mp-556146,,2.8283,Indirect,1,0.1286,Unstable,train,train,test,train,train
mp-693393,Na13Ca7S12Cl2O48F,4.6104,Direct,0,0.0232,Stable,val,val,train,train,test
mp-695559,Na13Ca7S12Cl2O48F,4.7708,Indirect,1,0.0225,Stable,train,test,val,train,train
mp-1194067,,4.6315,Indirect,1,0.0,Stable,val,train,test,train,train
mp-1193789,,3.0039,Indirect,1,0.0046,Stable,train,test,train,val,train
mp-1307582,,3.6397,Direct,0,0.0086,Stable,train,train,train,train,test
mp-1193859,,2.1312,Indirect,1,0.0066,Stable,test,train,train,train,train
