mp_id,formula,bg_eV,gap_type,ehull,stable
mp-4937,,3.4515,Indirect,0.2563,Unstable
mp-10930,TbSF,1.2587,Direct,0.0,Stable
mp-10932,ErSF,1.3244,Direct,0.0,Stable
mp-3992,PrSF,1.2541,Direct,0.0,Stable
mp-5760,NdSF,1.2363,Direct,0.0,Stable
mp-554025,,4.0441,Indirect,0.2373,Unstable
mp-555850,LuSF,2.6141,Indirect,0.0,Stable
mp-504830,,2.4961,Indirect,0.4317,Unstable
mp-6560,KSO2F,3.9815,Indirect,0.0188,Stable
mp-7744,LiSO3F,5.7916,Direct,0.0,Stable
mp-1086652,BaAgSF,1.4324,Direct,0.0,Stable
mp-12444,SrCuSF,1.5126,Direct,0.0,Stable
mp-21354,EuCuSF,0.0733,Indirect,0.0077,Stable
mp-1219531,,0.9485,Indirect,0.1773,Unstable
mp-561392,TcSO6F,2.721,Indirect,0.0,Stable
mp-557035,K3SO4F,5.2302,Indirect,0.002,Stable
mp-1103970,FeSO4F,2.0446,Direct,0.0007,Stable
mp-1219612,,1.0603,Direct,0.2376,Unstable
mp-1214204,Ca5S3O12F,0.2906,Direct,0.3201,Unstable
mp-23598,,1.9334,Indirect,0.0,Stable
mp-650178,,1.4592,Indirect,0.0,Stable
mp-557001,RbSO4F,2.4788,Indirect,0.163,Unstable
mp-1223822,K3SO4F,4.9511,Indirect,0.0102,Stable
mp-1186075,Na3SO4F,5.1202,Indirect,0.02,Stable
mp-554012,,4.6493,Indirect,0.0,Stable
mp-1223363,KSO2F,4.1568,Direct,0.0241,Stable
mp-1229086,AgSO3F,2.4337,Indirect,0.0,Stable
mp-1220058,Re3S4O8F,0.0153,Indirect,1.3512,Unstable
mp-1190566,TlSO3F,4.4542,Indirect,0.0,Stable
mp-1209092,,0.2695,Indirect,0.9926,Unstable
mp-1223405,KSO3F,5.1172,Direct,0.0,Stable
mp-16801,GdSO4F,0.2226,Indirect,0.0,Stable
mp-24463,,5.4991,Indirect,0.0,Stable
mp-6368,CsSO2F,4.4107,Indirect,0.0144,Stable
mp-1222350,LiMgSO4F,5.9657,Indirect,0.0112,Stable
mp-1222389,LiFeSO4F,3.4481,Indirect,0.0092,Stable
mp-1105952,NaFeSO4F,4.1937,Indirect,0.0,Stable
mp-1189612,NaCuSO4F,0.4494,Indirect,0.0,Stable
mp-1194644,KFeSO4F,3.925,Indirect,0.0,Stable
mp-864766,NaMgSO4F,5.6118,Direct,0.0,Stable
mp-557399,KSnSO4F,3.8899,Indirect,0.0073,Stable
mp-677510,LiMgSO4F,0.8786,Indirect,0.605,Unstable
mp-942700,LiNiSO4F,4.2066,Indirect,0.0015,Stable
mp-942702,LiMnSO4F,4.1107,Indirect,0.0124,Stable
mp-23657,Na6S2ClO8F,4.7742,Indirect,0.0,Stable
mp-729140,USNO6F,0.5436,Direct,0.3688,Unstable
mp-730446,,5.7307,Direct,0.0,Stable
mp-1203440,LiZnSO4F,4.2073,Indirect,0.0,Stable
mp-556146,,2.8283,Indirect,0.1286,Unstable
mp-693393,Na13Ca7S12Cl2O48F,4.6104,Direct,0.0232,Stable
mp-695559,Na13Ca7S12Cl2O48F,4.7708,Indirect,0.0225,Stable
mp-1194067,,4.6315,Indirect,0.0,Stable
mp-1307582,,3.6397,Direct,0.0086,Stable
mp-1193859,,2.1312,Indirect,0.0066,Stable
mp-1198138,,4.0695,Indirect,0.0034,Stable
mp-746580,,0.2696,Indirect,0.1619,Unstable
mp-557227,KCa12Si4S2O26F,4.2813,Indirect,0.0008,Stable
mp-1181947,,4.2701,Direct,0.0901,Stable
mp-707774,,0.7024,Direct,0.372,Unstable
mp-1199984,,2.2123,Indirect,0.0515,Stable
mp-1222063,,1.0961,Indirect,0.037,Stable
mp-707264,,0.4797,Indirect,0.0383,Stable
mp-7580,Hg3(SF)2,1.8372,Indirect,0.0,Stable
mp-1228621,Ba2S2O3F2,2.367,Direct,0.2526,Unstable
mp-1194972,,1.9408,Indirect,0.009,Stable
mp-1202574,AgS2(O3F)2,0.1878,Direct,0.0,Stable
mp-554599,SnS2(O3F)2,4.3518,Indirect,0.0047,Stable
mp-642795,,4.5687,Indirect,0.0,Stable
mp-1191332,CsS2(O3F)2,0.3033,Indirect,0.0,Stable
mp-557531,Pb2S(O2F)2,3.7964,Direct,0.0,Stable
mp-559593,,2.5324,Indirect,0.3755,Unstable
mp-1179999,Pb10SO13F2,1.2446,Indirect,0.0365,Stable
mp-1188569,,0.8715,Indirect,0.2753,Unstable
mp-17676,Sr2SnS3F2,2.0801,Direct,0.0,Stable
mp-1235086,K2LiS2(O2F)2,0.2739,Indirect,0.1839,Unstable
mp-1236214,K2LiS2(O2F)2,0.6569,Indirect,0.2376,Unstable
mp-2232163,MgFe2S2(O4F)2,3.7741,Indirect,0.1237,Unstable
mp-2232217,MgFe2S2(O4F)2,3.6246,Indirect,0.0919,Stable
mp-2232231,MgFe2S2(O4F)2,3.6659,Indirect,0.084,Stable
mp-549237,Sr2Fe2S2OF2,1.4677,Indirect,0.0415,Stable
mp-1196656,,3.4899,Indirect,0.1158,Unstable
mp-1196465,K2ZrS2(O5F)2,0.1913,Direct,0.2101,Unstable
mp-1199269,KS2N(O2F)2,5.4444,Indirect,0.0904,Stable
mp-541750,CsS2N(O2F)2,5.5362,Indirect,0.0773,Stable
mp-559393,,5.8248,Indirect,0.1713,Unstable
mp-561001,,2.2391,Indirect,0.365,Unstable
mp-696993,,3.8681,Indirect,0.024,Stable
mp-863004,K2USO7F2,0.153,Indirect,0.1431,Unstable
mp-1227873,Ca10Si3S3(O12F)2,4.4312,Direct,0.0203,Stable
mp-559971,LiS2N(O2F)2,5.9008,Indirect,0.0956,Stable
mp-1222075,,1.3063,Indirect,1.3686,Unstable
mp-1227460,,1.6242,Indirect,1.3354,Unstable
mp-1213195,CsSbS(O2F)2,4.6564,Indirect,0.0,Stable
mp-1105944,,5.8161,Indirect,0.0769,Stable
mp-698122,,0.8905,Indirect,0.6139,Unstable
mp-1235827,K2LiS2(O2F)2,0.8359,Indirect,0.2449,Unstable
mp-1194885,Na3VS2(O4F)2,2.4277,Indirect,0.0,Stable
mp-1194982,Na3FeS2(O4F)2,2.5691,Direct,0.0,Stable
mp-1195590,Na3MnS2(O4F)2,1.418,Direct,0.0,Stable
mp-720360,Na13Ca7S12Cl(O24F)2,5.1477,Indirect,0.006,Stable
mp-558888,,4.8031,Indirect,0.2883,Unstable
mp-1203356,,3.6948,Indirect,0.1686,Unstable
mp-1105350,,4.8046,Indirect,0.4461,Unstable
mp-555146,,4.5234,Direct,0.3548,Unstable
mp-554187,,4.7744,Indirect,0.3255,Unstable
mp-643446,,5.364,Indirect,0.001,Stable
mp-16813,,1.9675,Indirect,0.1912,Unstable
mp-560021,AuS3(O3F)3,1.4998,Indirect,0.0,Stable
mp-695305,,5.9224,Indirect,0.1466,Unstable
mp-769603,LiVSO4F3,1.2039,Indirect,0.0479,Stable
mp-1190551,Na2FeSO4F3,2.0527,Direct,0.0049,Stable
mp-1181304,,1.4496,Indirect,0.3582,Unstable
mp-1200256,,3.306,Indirect,0.1579,Unstable
mp-1201933,,6.9361,Direct,0.1814,Unstable
mp-1212181,MnSN2O4F3,0.3744,Indirect,0.6857,Unstable
mp-19488,Rb2MnSO4F3,1.747,Indirect,0.0,Stable
mp-18838,K2MnSO4F3,1.5234,Indirect,0.0,Stable
mp-555625,,5.0565,Indirect,0.2092,Unstable
mp-555503,,3.634,Indirect,0.1446,Unstable
mp-636952,,6.6079,Indirect,0.1643,Unstable
mp-720860,,6.0024,Indirect,0.1167,Unstable
mp-769602,Li2VSO4F3,2.2545,Indirect,0.0907,Stable
mp-555016,,3.2494,Indirect,0.3163,Unstable
mp-557969,LiLa2S2O8F3,6.6249,Indirect,0.01,Stable
mp-560673,NaPr2S2O8F3,6.1633,Indirect,0.0,Stable
mp-554294,Na7SnS3(O4F)3,5.0262,Indirect,0.025,Stable
mp-554643,K2SbSO4F3,4.9328,Indirect,0.0,Stable
mp-1181494,,2.0947,Indirect,0.2686,Unstable
mp-560125,,3.3625,Indirect,0.1594,Unstable
mp-768092,LiVSO4F3,1.5414,Indirect,0.0589,Stable
mp-554592,,5.6075,Indirect,0.1269,Unstable
mp-559646,,5.3392,Direct,0.1335,Unstable
mp-6858,,5.7327,Indirect,0.1322,Unstable
mp-1203080,K2AlSO4F3,5.7847,Direct,0.0,Stable
mp-19304,K2MnSO4F3,1.3684,Direct,0.0009,Stable
mp-555002,LiEr2S2O8F3,6.176,Indirect,0.0142,Stable
mp-770642,Li2MnSO4F3,1.7329,Direct,0.0843,Stable
mp-1199815,SbSN2O4F3,1.1105,Indirect,0.9569,Unstable
mp-557006,Na2SbSO4F3,4.4339,Indirect,0.0,Stable
mp-672209,,5.564,Direct,0.141,Unstable
mp-1203692,,1.58,Indirect,0.0234,Stable
mp-23777,,5.8094,Indirect,0.2716,Unstable
mp-555329,,1.5162,Direct,0.2588,Unstable
mp-601228,,3.1436,Indirect,0.7248,Unstable
mp-696485,,3.4852,Indirect,0.0165,Stable
mp-605808,,3.4853,Indirect,0.3335,Unstable
mp-559423,,3.3148,Direct,0.241,Unstable
mp-1202925,,2.6963,Indirect,0.2882,Unstable
mp-1204104,,3.2777,Indirect,0.3264,Unstable
mp-28113,WSF4,3.3183,Direct,0.1419,Unstable
mp-560960,ReSF4,0.3651,Indirect,0.0063,Stable
mp-1182437,,3.6381,Indirect,0.1476,Unstable
mp-1201734,,0.4207,Indirect,0.1937,Unstable
mp-555436,,4.3527,Direct,0.1284,Unstable
mp-555888,,6.1791,Indirect,0.2112,Unstable
mp-1105132,,2.348,Indirect,0.1497,Unstable
mp-1179346,,0.2935,Direct,0.9829,Unstable
mp-1201750,,5.3274,Indirect,0.0356,Stable
mp-1214776,,2.1892,Indirect,0.1244,Unstable
mp-1199018,Ba4CrGa2(S3F2)2,2.1491,Indirect,0.0499,Stable
