mp_id,formula,bg_eV,gap_type,ehull,stable,fold0,fold1,fold2,fold3,fold4
mp-1206456,Y2S2F,0.0,Metal,1.7375,Unstable,train,test,train,train,val
mp-1206470,Nd2S2F,0.0,Metal,1.75,Unstable,train,train,val,test,train
mp-1206628,Er2S2F,0.0,Metal,1.7205,Unstable,train,train,test,train,val
mp-1206833,Dy2S2F,0.0,Metal,1.9631,Unstable,val,train,test,train,train
mp-1207254,Tb2S2F,0.0,Metal,1.985,Unstable,train,train,test,train,train
mp-1207260,Pr2S2F,0.0,Metal,2.1815,Unstable,train,test,train,train,train
mp-1207264,Ho2S2F,0.0,Metal,1.7294,Unstable,train,train,val,train,test
mp-1207269,La2S2F,0.0,Metal,1.9934,Unstable,train,train,test,train,train
mp-1207299,Sm2S2F,0.0,Metal,1.7504,Unstable,test,train,train,train,train
mp-10086,YSF,1.3132,Direct,0.0,Stable,train,val,train,val,test
mp-10930,TbSF,1.2587,Direct,0.0,Stable,train,train,train,test,train
mp-10931,HoSF,1.2996,Direct,0.0,Stable,train,test,train,val,train
mp-10932,ErSF,1.3244,Direct,0.0,Stable,train,train,train,train,test
mp-3799,GdSF,0.0,Metal,0.0,Stable,train,test,train,train,train
mp-3992,PrSF,1.2541,Direct,0.0,Stable,train,test,train,train,train
mp-3931,SmSF,1.2297,Direct,0.0,Stable,train,val,train,train,test
mp-4973,CeSF,0.0,Metal,0.0,Stable,train,train,test,train,train
mp-5394,LaSF,1.4881,Direct,0.0,Stable,train,train,test,train,train
mp-5760,NdSF,1.2363,Direct,0.0,Stable,train,train,train,test,train
mp-555850,LuSF,2.6141,Indirect,0.0,Stable,test,train,train,train,val
mp-1207509,YbSF,0.0,Metal,0.0,Stable,test,train,train,train,train
mp-3632,YSF,2.5593,Indirect,0.0265,Stable,train,train,test,val,train
mp-1013939,TiSF,0.0,Metal,0.1905,Unstable,test,train,train,train,train
mp-560222,Na3SO4F,5.3459,Indirect,0.0,Stable,train,train,train,train,test
mp-6384,RbSO2F,4.1099,Indirect,0.0118,Stable,train,val,train,train,test
mp-6560,KSO2F,3.9815,Indirect,0.0188,Stable,train,test,train,train,val
mp-1225522,Er3S3OF,0.4717,Indirect,0.0526,Stable,train,train,train,test,train
mp-7744,LiSO3F,5.7916,Direct,0.0,Stable,train,train,train,train,test
mp-1208929,Sr2CuS2F,0.0,Metal,1.2942,Unstable,test,train,train,train,train
mp-1078631,SrBiS2F,0.8544,Direct,0.0087,Stable,train,train,test,train,train
mp-1078562,SrAgSF,1.2533,Direct,0.0072,Stable,train,test,train,train,train
mp-1080650,BaCuSF,1.6223,Direct,0.004,Stable,train,test,train,train,train
mp-1086652,BaAgSF,1.4324,Direct,0.0,Stable,train,test,train,train,train
mp-12444,SrCuSF,1.5126,Direct,0.0,Stable,train,test,val,train,train
mp-21354,EuCuSF,0.0733,Indirect,0.0077,Stable,train,train,train,train,test
mp-561392,TcSO6F,2.721,Indirect,0.0,Stable,val,train,train,test,val
mp-622195,CsSO3F,5.1645,Direct,0.0,Stable,train,train,val,val,test
mp-557035,K3SO4F,5.2302,Indirect,0.002,Stable,train,train,train,train,test
mp-1103970,FeSO4F,2.0446,Direct,0.0007,Stable,train,test,train,train,train
mp-1220908,NaSO3F,5.0584,Indirect,0.0,Stable,val,train,train,train,test
mp-1214204,Ca5S3O12F,0.2906,Direct,0.3201,Unstable,val,val,val,train,test
mp-1104492,FeSO4F,2.0927,Direct,0.0103,Stable,val,train,test,train,train
mp-557001,RbSO4F,2.4788,Indirect,0.163,Unstable,train,train,test,train,train
mp-1223822,K3SO4F,4.9511,Indirect,0.0102,Stable,train,train,train,test,val
mp-1186075,Na3SO4F,5.1202,Indirect,0.02,Stable,train,train,train,test,val
mp-547029,Na3SO4F,2.2518,Indirect,0.3319,Unstable,train,train,train,test,train
mp-989388,Rb2SCl6F,0.0,Metal,0.4716,Unstable,train,test,train,val,val
mp-989521,Cs2SCl6F,0.0,Metal,0.4596,Unstable,train,val,train,train,test
mp-1223363,KSO2F,4.1568,Direct,0.0241,Stable,train,train,train,train,test
mp-1229086,AgSO3F,2.4337,Indirect,0.0,Stable,val,train,train,test,train
mp-1220058,Re3S4O8F,0.0153,Indirect,1.3512,Unstable,train,train,train,test,train
mp-1190566,TlSO3F,4.4542,Indirect,0.0,Stable,train,train,val,test,val
mp-1219578,RbSO3F,5.1068,Direct,0.0,Stable,train,test,train,val,train
mp-1223405,KSO3F,5.1172,Direct,0.0,Stable,train,test,train,train,train
mp-16801,GdSO4F,0.2226,Indirect,0.0,Stable,val,train,train,train,test
mp-17769,YSO4F,5.8517,Indirect,0.0069,Stable,train,test,train,val,train
mp-6368,CsSO2F,4.4107,Indirect,0.0144,Stable,train,val,train,test,train
mp-1222350,LiMgSO4F,5.9657,Indirect,0.0112,Stable,train,train,train,train,test
mp-1222389,LiFeSO4F,3.4481,Indirect,0.0092,Stable,train,train,train,test,train
mp-1223274,La2Bi2S4OF,0.0,Metal,0.0471,Stable,train,train,train,train,test
mp-1223105,La4Bi4S8O3F,0.0,Metal,0.0132,Stable,test,train,train,train,train
mp-1105952,NaFeSO4F,4.1937,Indirect,0.0,Stable,train,train,test,train,train
mp-1189154,NaZnSO4F,4.2143,Indirect,0.0049,Stable,train,train,test,train,val
mp-1189612,NaCuSO4F,0.4494,Indirect,0.0,Stable,train,train,test,val,train
mp-1194644,KFeSO4F,3.925,Indirect,0.0,Stable,train,train,train,train,test
mp-1195676,LiCuSO4F,0.4309,Indirect,0.0,Stable,train,train,train,val,test
mp-1205341,NaCoSO4F,2.1368,Indirect,0.0,Stable,train,train,val,test,train
mp-864766,NaMgSO4F,5.6118,Direct,0.0,Stable,test,train,train,train,train
mp-557399,KSnSO4F,3.8899,Indirect,0.0073,Stable,test,train,train,train,train
mp-677510,LiMgSO4F,0.8786,Indirect,0.605,Unstable,train,val,train,test,train
mp-942700,LiNiSO4F,4.2066,Indirect,0.0015,Stable,train,train,train,test,train
mp-942701,LiCoSO4F,0.0,Metal,0.0073,Stable,train,train,train,test,train
mp-942702,LiMnSO4F,4.1107,Indirect,0.0124,Stable,train,train,test,train,train
mp-943492,LiFeSO4F,1.3691,Direct,0.0066,Stable,train,train,test,val,train
mp-23657,Na6S2ClO8F,4.7742,Indirect,0.0,Stable,val,train,val,test,train
mp-560102,RbUSO6F,2.2159,Direct,0.0,Stable,test,train,train,train,train
mp-729140,USNO6F,0.5436,Direct,0.3688,Unstable,train,val,test,train,train
mp-1203440,LiZnSO4F,4.2073,Indirect,0.0,Stable,train,test,train,train,train
mp-693393,Na13Ca7S12Cl2O48F,4.6104,Direct,0.0232,Stable,test,train,train,train,train
mp-695559,Na13Ca7S12Cl2O48F,4.7708,Indirect,0.0225,Stable,train,test,train,train,train
mp-557227,KCa12Si4S2O26F,4.2813,Indirect,0.0008,Stable,train,train,train,train,test
mp-7580,Hg3(SF)2,1.8372,Indirect,0.0,Stable,train,train,test,val,train
mp-1228621,Ba2S2O3F2,2.367,Direct,0.2526,Unstable,train,train,train,train,test
mp-1202574,AgS2(O3F)2,0.1878,Direct,0.0,Stable,test,train,train,train,val
mp-554599,SnS2(O3F)2,4.3518,Indirect,0.0047,Stable,val,train,train,test,train
mp-1191332,CsS2(O3F)2,0.3033,Indirect,0.0,Stable,train,train,train,val,test
mp-557531,Pb2S(O2F)2,3.7964,Direct,0.0,Stable,train,train,test,train,train
mp-1179999,Pb10SO13F2,1.2446,Indirect,0.0365,Stable,test,train,train,train,train
mp-17676,Sr2SnS3F2,2.0801,Direct,0.0,Stable,test,train,train,train,train
mp-17918,Ba2SnS3F2,2.4412,Direct,0.0,Stable,train,train,train,test,train
mp-1235086,K2LiS2(O2F)2,0.2739,Indirect,0.1839,Unstable,train,test,train,train,train
mp-1235337,K2LiS2(O2F)2,0.0,Metal,0.2335,Unstable,train,train,train,train,test
mp-1235206,K2LiS2(O2F)2,1.0342,Indirect,0.1887,Unstable,val,train,test,train,train
mp-1235506,K2LiS2(O2F)2,0.9722,Indirect,0.1929,Unstable,train,train,test,train,train
mp-1235317,K2LiS2(O2F)2,1.0414,Indirect,0.2071,Unstable,train,train,test,train,train
mp-1236214,K2LiS2(O2F)2,0.6569,Indirect,0.2376,Unstable,train,val,test,train,train
mp-1236687,K2LiS2(O2F)2,1.0017,Indirect,0.1966,Unstable,train,train,train,train,test
mp-2232163,MgFe2S2(O4F)2,3.7741,Indirect,0.1237,Unstable,val,train,train,train,test
mp-2232217,MgFe2S2(O4F)2,3.6246,Indirect,0.0919,Stable,val,test,train,train,train
mp-2232231,MgFe2S2(O4F)2,3.6659,Indirect,0.084,Stable,val,train,val,test,train
mp-551403,Ba2Fe2S2OF2,1.8181,Indirect,0.0264,Stable,train,train,test,train,train
mp-549237,Sr2Fe2S2OF2,1.4677,Indirect,0.0415,Stable,train,test,train,val,train
mp-1196019,NaS2N(O2F)2,5.5093,Direct,0.0855,Stable,train,test,train,train,val
mp-1196465,K2ZrS2(O5F)2,0.1913,Direct,0.2101,Unstable,train,train,test,val,train
mp-1199269,KS2N(O2F)2,5.4444,Indirect,0.0904,Stable,test,train,train,val,train
mp-1201634,NaS2N(O2F)2,5.3421,Indirect,0.0895,Stable,train,train,train,val,test
mp-541750,CsS2N(O2F)2,5.5362,Indirect,0.0773,Stable,train,train,train,test,val
mp-863004,K2USO7F2,0.153,Indirect,0.1431,Unstable,train,train,train,test,train
mp-1227873,Ca10Si3S3(O12F)2,4.4312,Direct,0.0203,Stable,train,test,train,train,train
mp-559971,LiS2N(O2F)2,5.9008,Indirect,0.0956,Stable,train,test,train,train,train
mp-2232096,MgFe2S2(O4F)2,3.8031,Direct,0.0539,Stable,test,val,train,train,train
mp-1213195,CsSbS(O2F)2,4.6564,Indirect,0.0,Stable,test,train,train,train,train
mp-554732,RbSbS(O2F)2,4.6867,Indirect,0.0,Stable,train,train,train,test,train
mp-1235067,K2LiS2(O2F)2,0.0,Metal,0.2481,Unstable,train,train,train,test,train
