formula,bg_type,bg_eV,bg_std_eV,ehull,screen_pass,source,structure_type,source_dir,source_file,cif_source,local_cif_name
AgBiSeCl2,Direct,0.9207,0.2877,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/AgBiSeCl2.cif,PROJECT_ROOT/Data/predict_final_main6/AgBiSeCl2.cif,AgBiSeCl2.cif
AgMo2S3I,Direct,0.6897,0.1508,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgMo2S3I.cif,PROJECT_ROOT/Data/predict_final_main6/AgMo2S3I.cif,AgMo2S3I.cif
AgSbSI2,Direct,0.6599,0.1196,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/AgSbSI2.cif,PROJECT_ROOT/Data/predict_final_main6/AgSbSI2.cif,AgSbSI2.cif
AgSbSeCl2,Direct,0.6525,0.32,Stable,Yes,dual_backbone_inorg,Type1_A_C_Ch_X2,PROJECT_ROOT/Data/predict_final,PROJECT_ROOT/Data/predict_final/AgSbSeCl2.cif,PROJECT_ROOT/Data/predict_final_main6/AgSbSeCl2.cif,AgSbSeCl2.cif
AgSnSCl,Direct,0.7417,0.4027,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgSnSCl.cif,PROJECT_ROOT/Data/predict_final_main6/AgSnSCl.cif,AgSnSCl.cif
AgSnSeBr,Direct,0.5536,0.4468,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgSnSeBr.cif,PROJECT_ROOT/Data/predict_final_main6/AgSnSeBr.cif,AgSnSeBr.cif
AgSnTeF,Direct,0.5114,0.1404,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1B1_Ch1_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/AgSnTeF.cif,PROJECT_ROOT/Data/predict_final_main6/AgSnTeF.cif,AgSnTeF.cif
Al2AgS3Cl,Direct,0.524,0.5584,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/Al2AgS3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/Al2AgS3Cl.cif,Al2AgS3Cl.cif
Al2AgSe3Br,Direct,0.7344,0.348,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/Al2AgSe3Br.cif,PROJECT_ROOT/Data/predict_final_main6/Al2AgSe3Br.cif,Al2AgSe3Br.cif
Al2CuTe3Cl,Direct,0.7413,0.3323,Stable,Yes,dual_backbone_inorg,TrainTemplate_A1C2_Ch3_X1,PROJECT_ROOT/Data/predict_main6_supplement_relaxed,PROJECT_ROOT/Data/predict_main6_supplement_relaxed/Al2CuTe3Cl.cif,PROJECT_ROOT/Data/predict_final_main6/Al2CuTe3Cl.cif,Al2CuTe3Cl.cif
