MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,compound possible,max ionic char,avg ionic char,transition metal fraction,band center,density,vpa,packing fraction,spacegroup_num,crystal_system_int,is_centrosymmetric,n_symmetry_ops,structural complexity per atom,structural complexity per cell
9.0,39.0,30.0,23.8,12.16,16.0,12.0,93.0,81.0,58.6,37.28,12.0,18.9984032,88.90585,69.9074468,52.188020640000005,29.374263488000004,32.065,53.5,1799.0,1745.5,885.644,730.6848,388.36,3.0,17.0,14.0,11.0,6.4,3.0,2.0,5.0,3.0,3.6,1.1199999999999999,3.0,57.0,190.0,133.0,129.4,48.480000000000004,105.0,1.22,3.98,2.76,2.316,0.8768,1.22,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.6,2.08,0.0,0.0,1.0,1.0,0.4,0.48,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,5.0,1.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.8,0.0,9.0,9.0,3.6,4.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,4.6,3.5200000000000005,2.0,9.7075,32.365,22.657500000000002,25.20225,6.197900000000001,25.786875,0.0,2.202,2.202,1.2748,1.0198399999999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.0,179.0,108.6,68.32000000000001,70.0,3,0.6000000000000001,0.5142563181316472,0.46090632396042813,0.4418818424353128,0.4287303134918266,2.0,2.6,0.4,0.0,0.4,0.52,0.08,0.0,False,0.8510880369988522,0.15831367040099442,0.0,5.325607646028143,2.714791116717401,31.921515680775048,0.3618827421066691,123,4,True,16,1.5219280948873621,7.6096404744368105
9.0,60.0,51.0,32.2,22.240000000000002,16.0,19.0,93.0,74.0,61.4,33.92,19.0,18.9984032,144.242,125.24359679999999,74.32248064,55.935615487999996,32.065,53.5,1294.0,1240.5,683.644,488.2848,388.36,3.0,17.0,14.0,11.0,6.4,3.0,2.0,6.0,4.0,4.0,1.6,3.0,57.0,201.0,144.0,133.8,53.760000000000005,105.0,1.14,3.98,2.84,2.284,0.9152000000000001,1.14,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.6,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.6,1.92,0.0,6.0,7.0,1.0,6.2,0.3200000000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,4.0,4.8,0.0,1.0,10.0,9.0,5.0,4.0,2.0,9.7075,34.81,25.102500000000003,26.18025,6.903800000000001,25.786875,0.0,2.202,2.202,1.2748,1.0198399999999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.0,179.0,108.6,68.32000000000001,70.0,3,0.6000000000000001,0.5142563181316472,0.46090632396042813,0.4418818424353128,0.4287303134918266,2.0,2.6,0.0,1.6,0.3225806451612903,0.41935483870967744,0.0,0.25806451612903225,False,0.8668661146057182,0.16506357087542103,0.0,5.1646452536092555,3.5706278094852437,34.564056907281625,0.35843522021792756,123,4,True,16,1.5219280948873621,7.6096404744368105
9.0,68.0,59.0,35.4,26.080000000000002,16.0,35.0,93.0,58.0,67.8,26.24,35.0,18.9984032,167.259,148.26059679999997,83.52928064,66.98377548799999,32.065,53.5,1770.0,1716.5,874.0440000000001,716.7647999999999,388.36,3.0,17.0,14.0,11.0,6.4,3.0,2.0,6.0,4.0,4.0,1.6,3.0,57.0,189.0,132.0,129.0,48.0,105.0,1.24,3.98,2.74,2.3240000000000003,0.8672000000000001,1.24,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.6,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,4.8,5.76,0.0,6.0,14.0,8.0,9.4,3.6799999999999997,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.8,0.96,0.0,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,9.7075,30.585,20.8775,24.49025,5.9131,25.786875,0.0,2.202,2.202,1.2748,1.0198399999999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.0,179.0,108.6,68.32000000000001,70.0,3,0.6000000000000001,0.5142563181316472,0.46090632396042813,0.4418818424353128,0.4287303134918266,2.0,2.6,0.0,4.8,0.2127659574468085,0.2765957446808511,0.0,0.5106382978723404,False,0.8469361309615888,0.15661199038296186,0.0,5.358277005905657,4.843636926610448,28.636257424556185,0.37574584831459706,123,4,True,16,1.5219280948873621,7.6096404744368105
9.0,66.0,57.0,34.6,25.119999999999997,16.0,31.0,93.0,62.0,66.2,28.160000000000004,31.0,18.9984032,162.5,143.50159680000002,81.62568064,64.699455488,32.065,53.5,1685.0,1631.5,840.0440000000001,675.9648,388.36,3.0,17.0,14.0,11.0,6.4,3.0,2.0,6.0,4.0,4.0,1.6,3.0,57.0,192.0,135.0,130.2,49.44,105.0,1.22,3.98,2.76,2.316,0.8768,1.22,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.6,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,4.0,4.8,0.0,6.0,12.0,6.0,8.6,2.7199999999999998,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.6,1.92,0.0,1.0,4.0,3.0,2.6,1.1199999999999999,2.0,9.7075,31.24,21.5325,24.752249999999997,6.017900000000001,25.786875,0.0,2.202,2.202,1.2748,1.0198399999999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.0,179.0,108.6,68.32000000000001,70.0,3,0.6000000000000001,0.5142563181316472,0.46090632396042813,0.4418818424353128,0.4287303134918266,2.0,2.6,0.0,4.0,0.23255813953488372,0.3023255813953489,0.0,0.46511627906976744,False,0.8510880369988522,0.15831367040099442,0.0,5.303206012474825,4.931617758486105,27.484415534166494,0.39149294716378813,123,4,True,16,1.5219280948873621,7.6096404744368105
9.0,65.0,56.0,34.2,24.64,16.0,29.0,93.0,64.0,65.4,29.119999999999997,29.0,18.9984032,158.92535,139.9269468,80.19582064,62.983623488,32.065,53.5,1629.0,1575.5,817.644,649.0848,388.36,3.0,17.0,14.0,11.0,6.4,3.0,2.0,6.0,4.0,4.0,1.6,3.0,57.0,194.0,137.0,131.0,50.4,105.0,1.21,3.98,2.77,2.3120000000000003,0.8815999999999999,1.21,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.6,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,3.6,4.32,0.0,6.0,11.0,5.0,8.2,2.2399999999999998,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.4,0.0,1.0,5.0,4.0,3.0,1.6,2.0,9.7075,31.7366666667,22.0291666667,24.950916666679998,6.097366666672,25.786875,0.0,2.202,2.202,1.2748,1.0198399999999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.0,179.0,108.6,68.32000000000001,70.0,3,0.6000000000000001,0.5142563181316472,0.46090632396042813,0.4418818424353128,0.4287303134918266,2.0,2.6,0.0,3.6,0.24390243902439027,0.3170731707317074,0.0,0.4390243902439025,False,0.8742676704055721,0.16839751763834146,0.0,5.278604863314337,4.6473717537555475,28.65453860651612,0.37550612788782434,123,4,True,16,1.5219280948873621,7.6096404744368105
9.0,59.0,50.0,31.8,21.759999999999998,16.0,17.0,93.0,76.0,60.6,34.88,17.0,18.9984032,140.90765,121.90924679999999,72.98874063999999,54.33512748799999,32.065,53.5,1204.0,1150.5,647.644,445.0848,388.36,3.0,17.0,14.0,11.0,6.4,3.0,2.0,6.0,4.0,4.0,1.6,3.0,57.0,203.0,146.0,134.6,54.720000000000006,105.0,1.13,3.98,2.85,2.2800000000000002,0.9199999999999999,1.13,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.6,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.2,1.44,0.0,5.0,7.0,2.0,5.8,0.64,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,4.4,5.279999999999999,0.0,1.0,11.0,10.0,5.4,4.4799999999999995,2.0,9.7075,35.675,25.967499999999998,26.526249999999997,7.319,25.786875,0.0,2.202,2.202,1.2748,1.0198399999999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.0,179.0,108.6,68.32000000000001,70.0,3,0.6000000000000001,0.5142563181316472,0.46090632396042813,0.4418818424353128,0.4287303134918266,2.0,2.6,0.0,1.2,0.3448275862068966,0.4482758620689655,0.0,0.20689655172413793,False,0.868746537906099,0.16589989025322646,0.0,5.142965428790831,1.5032358911084276,80.62650455652724,0.15365884230415272,123,4,True,16,1.5219280948873621,7.6096404744368105
9.0,67.0,58.0,35.0,25.6,16.0,33.0,93.0,60.0,67.0,27.2,33.0,18.9984032,164.93032,145.9319168,82.59780864,65.866009088,32.065,53.5,1747.0,1693.5,864.844,705.7248,388.36,3.0,17.0,14.0,11.0,6.4,3.0,2.0,6.0,4.0,4.0,1.6,3.0,57.0,192.0,135.0,130.2,49.44,105.0,1.23,3.98,2.75,2.32,0.8720000000000001,1.23,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.6,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,4.4,5.279999999999999,0.0,6.0,13.0,7.0,9.0,3.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.2,1.44,0.0,1.0,3.0,2.0,2.2,0.64,2.0,9.7075,30.7333333333,21.0258333333,24.549583333319998,5.936833333328001,25.786875,0.0,2.202,2.202,1.2748,1.0198399999999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.0,179.0,108.6,68.32000000000001,70.0,3,0.6000000000000001,0.5142563181316472,0.46090632396042813,0.4418818424353128,0.4287303134918266,2.0,2.6,0.0,4.4,0.2222222222222222,0.2888888888888889,0.0,0.48888888888888893,False,0.8490225815440854,0.15746344509148277,0.0,5.330341370849871,4.426026442222814,30.98871867223092,0.34722167613167787,123,4,True,16,1.5219280948873621,7.6096404744368105
9.0,57.0,48.0,31.0,20.8,16.0,13.0,93.0,80.0,59.0,36.8,13.0,18.9984032,138.90547,119.90706680000001,72.18786864,53.374081088000004,32.065,53.5,1193.0,1139.5,643.244,439.8048,388.36,3.0,17.0,14.0,11.0,6.4,3.0,2.0,6.0,4.0,4.0,1.6,3.0,57.0,207.0,150.0,136.2,56.64,105.0,1.1,3.98,2.88,2.268,0.9344000000000001,1.1,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.6,2.08,0.0,0.0,1.0,1.0,0.4,0.48,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,5.0,1.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.8,0.0,9.0,9.0,3.6,4.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,4.6,3.5200000000000005,2.0,9.7075,36.8975,27.19,27.01525,7.905800000000002,25.786875,0.0,2.202,2.202,1.2748,1.0198399999999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.0,179.0,108.6,68.32000000000001,70.0,3,0.6000000000000001,0.5142563181316472,0.46090632396042813,0.4418818424353128,0.4287303134918266,2.0,2.6,0.4,0.0,0.4,0.52,0.08,0.0,False,0.8742676704055721,0.16839751763834146,0.0,5.1752575579599505,1.2061830335710366,99.38025394362771,0.14292555695196202,123,4,True,16,1.5219280948873621,7.6096404744368105
9.0,62.0,53.0,33.0,23.2,16.0,23.0,93.0,70.0,63.0,32.0,23.0,18.9984032,150.36,131.36159680000003,76.76968064,58.87225548800001,32.065,53.5,1345.0,1291.5,704.0440000000001,512.7648,388.36,3.0,17.0,14.0,11.0,6.4,3.0,2.0,6.0,4.0,4.0,1.6,3.0,57.0,198.0,141.0,132.6,52.32000000000001,105.0,1.17,3.98,2.81,2.2960000000000003,0.9007999999999999,1.17,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.6,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.4,2.88,0.0,6.0,8.0,2.0,7.0,0.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.2,3.84,0.0,1.0,8.0,7.0,4.2,3.04,2.0,9.7075,33.23,23.522499999999997,25.54825,6.336299999999999,25.786875,0.0,2.202,2.202,1.2748,1.0198399999999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,166.0,151.0,97.4,54.879999999999995,70.0,3,0.6000000000000001,0.5142563181316472,0.46090632396042813,0.4418818424353128,0.4287303134918266,2.0,2.6,0.0,2.4,0.2857142857142857,0.37142857142857144,0.0,0.34285714285714286,False,0.8611033295011811,0.1625441107970709,0.0,5.204799728775238,4.031405207964344,31.621493607089377,0.3917896954244099,123,4,True,16,1.5219280948873621,7.6096404744368105
9.0,39.0,30.0,21.333333333333332,11.777777777777777,9.0,12.0,93.0,81.0,64.33333333333333,34.88888888888889,12.0,18.9984032,88.90585,69.9074468,46.656417733333335,28.166288177777783,18.9984032,53.5,1799.0,1745.5,746.9533333333334,701.3644444444444,53.5,3.0,17.0,14.0,12.0,6.0,3.0,2.0,5.0,3.0,3.3333333333333335,1.1111111111111112,2.0,57.0,190.0,133.0,117.33333333333333,48.444444444444436,57.0,1.22,3.98,2.76,2.5933333333333333,0.9244444444444445,1.22,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,5.333333333333333,1.5555555555555556,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.6666666666666666,0.0,9.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,4.0,3.3333333333333335,1.0,9.7075,32.365,22.657500000000002,22.619791666666668,8.608194444444445,9.7075,0.0,2.202,2.202,1.3906666666666665,0.9271111111111111,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.0,179.0,93.0,67.33333333333333,15.0,3,0.5773502691896257,0.4807498567691361,0.4152436465385057,0.389976937586229,0.37204105801130144,2.0,3.0,0.3333333333333333,0.0,0.375,0.5625,0.0625,0.0,True,0.8510880369988522,0.17874347349038144,0.0,5.955155149134199,4.783357564076639,16.196741185290698,0.5997382049743051,129,4,True,16,1.584962500721156,9.509775004326936
