model,metric,mean,std,n_folds
CGCNN,bg_mae,0.5583996,0.027630935109764197,5
CGCNN,gt_acc,0.7087186,0.00901232455252251,5
CGCNN,gt_f1,0.8101,0.007772814239385892,5
CGCNN,eh_acc,0.856319,0.014824079640908558,5
CGCNN,eh_f1,0.675481,0.03553801391749403,5
ALIGNN,bg_mae,0.556217,0.022041308491103705,5
ALIGNN,gt_acc,0.7228182,0.037274786263102835,5
ALIGNN,gt_f1,0.6040182,0.033669756027628124,5
ALIGNN,eh_acc,0.8789682000000001,0.015857267815106085,5
ALIGNN,eh_f1,0.8222221999999999,0.025068654845443922,5
M3GNet,bg_mae,0.5440986000000001,0.041004231686985686,5
M3GNet,gt_acc,0.7364048000000001,0.02577731624820552,5
M3GNet,gt_f1,0.6089140000000001,0.03189215886076074,5
M3GNet,eh_acc,0.8761128000000001,0.01440525131193482,5
M3GNet,eh_f1,0.8223792,0.021393357860794084,5
MACE,bg_mae,0.394487,0.04066176354266991,5
MACE,gt_acc,0.6770266,0.023440508079817707,5
MACE,gt_f1,0.5977154,0.02529600035262493,5
MACE,eh_acc,0.9157263999999999,0.010305325489279805,5
MACE,eh_f1,0.8830968,0.013221907236098727,5
MACE+M3GNet,bg_mae,0.2336188,0.02427247004653626,5
MACE+M3GNet,gt_acc,0.8959284000000001,0.007223241283523632,5
MACE+M3GNet,gt_f1,0.8555541999999999,0.010006352570242578,5
MACE+M3GNet,eh_acc,0.9705847999999999,0.008874508806688957,5
MACE+M3GNet,eh_f1,0.9592914,0.011929542264479391,5
MACE+ALIGNN,bg_mae,0.22177979999999997,0.013709366336924544,5
MACE+ALIGNN,gt_acc,0.8896944,0.020048235090401326,5
MACE+ALIGNN,gt_f1,0.847636,0.02406973070061233,5
MACE+ALIGNN,eh_acc,0.9666186,0.009575373634485506,5
MACE+ALIGNN,eh_f1,0.9533173999999999,0.013186069188351763,5
