task,model,mae_ev,mae_perfold,mae_std,rmse,r2,acc,f1_macro,f1_perfold,f1_std,acc_perfold
bandgap,Dummy(mean),1.0338504933032142,1.0338221621845427,0.0390940522167493,1.347954400575939,-0.06096157355587106,,,,,
bandgap,Ridge,0.7464915364268733,0.7464750485870042,0.03198076366222457,0.9693300297179964,0.4513535321128326,,,,,
bandgap,KNN,0.6366487937797598,0.63665801971669,0.025417654889788675,0.9313480809813011,0.4935071708649703,,,,,
bandgap,RandomForest,0.5269261462779853,0.5269163126055466,0.03574765563362877,0.7627289528595204,0.6603045595450748,,,,,
bandgap,ExtraTrees,0.47018282212974577,0.47016597480787004,0.04516439273285039,0.7397340771665429,0.6804781924396679,,,,,
bandgap,HistGBM,0.4959989637144132,0.49598559494090233,0.03897044607999366,0.7639663169175158,0.6592014996121058,,,,,
gap_type,Dummy(freq),,,,,,0.7754524886877828,0.43676330041414463,0.43676331251019185,0.00038070507516555445,0.7754533378146957
gap_type,Logistic,,,,,,0.6481900452488688,0.5887818595189661,0.5888772364547281,0.03551319220483606,0.6481954514172308
gap_type,KNN,,,,,,0.7833710407239819,0.6171297167984376,0.6170200948722944,0.018212561033311973,0.7833741457403052
gap_type,RandomForest,,,,,,0.8071266968325792,0.6507699838096314,0.6501834985377238,0.022529420105546316,0.807139770490229
gap_type,ExtraTrees,,,,,,0.7907239819004525,0.6521106506811433,0.6514884212918367,0.01818517207567647,0.7907299819145021
gap_type,HistGBM,,,,,,0.790158371040724,0.6754796477182379,0.6751401047530499,0.01670202644290566,0.7901618091899939
stability,Dummy(freq),,,,,,0.7647058823529411,0.43333333333333335,0.4333332650121414,0.0006033834240910369,0.7647076711320242
stability,Logistic,,,,,,0.7941176470588235,0.7440432724814063,0.743899684225366,0.013990312494995693,0.794113410476785
stability,KNN,,,,,,0.8523755656108597,0.7657860957192649,0.7657014667171739,0.013909913837707448,0.8523759222803733
stability,RandomForest,,,,,,0.8868778280542986,0.8259592421745645,0.8258078408728331,0.016394579495045584,0.8868728093340377
stability,ExtraTrees,,,,,,0.8778280542986425,0.8175898752751284,0.8174775142423968,0.015569162374328628,0.8778284598517949
stability,HistGBM,,,,,,0.8868778280542986,0.8352071375442508,0.8351423643442253,0.022638372791396248,0.8868696083609418
bandgap,XGBoost,0.483449516546703,0.48343566597470033,0.04287383377543736,0.7460271148198958,0.67501862049158,,,,,
gap_type,XGBoost,,,,,,0.7856334841628959,0.6732081416075943,0.6737043364948418,0.031258768642915845,0.7856404346921464
stability,XGBoost,,,,,,0.8930995475113123,0.8441268379651852,0.8439935260536086,0.023142264555142254,0.893092300059218
bandgap,SVM,0.5506993127923825,0.5506836986926349,0.04299070722291294,0.8268111458470865,0.6008263198648606,,,,,
bandgap,LightGBM,0.4767790620089066,0.4767806550149329,0.037084234949308056,0.7265664041474751,0.69175227637057,,,,,
gap_type,SVM,,,,,,0.7279411764705882,0.6402209252885842,0.6403839100408603,0.028770127991249735,0.7279524975592581
gap_type,LightGBM,,,,,,0.7952488687782805,0.684335542929293,0.6838124660520114,0.0211006884082359,0.7952529568988973
stability,SVM,,,,,,0.8472850678733032,0.7935490567506551,0.7937351961823287,0.02589610357031226,0.8472815735983739
stability,LightGBM,,,,,,0.8851809954751131,0.8319579698276851,0.8317817214921484,0.020985068957078287,0.8851810950528961
