model,fold,bg_mae,gt_acc,gt_f1,eh_acc,eh_f1,val_loss
CGCNN,0,0.623163,0.711864,0.8125,0.861582,0.726257,
CGCNN,1,0.525753,0.689266,0.795539,0.889831,0.751592,
CGCNN,2,0.641055,0.714689,0.815356,0.889831,0.751592,
CGCNN,3,0.598969,0.725212,0.820702,0.872521,0.689655,
CGCNN,4,0.557998,0.74221,0.837209,0.88102,0.734177,
ALIGNN,0,0.578728,0.745763,0.626565,0.887006,0.837054,
ALIGNN,1,0.578206,0.762712,0.621968,0.847458,0.773807,
ALIGNN,2,0.531935,0.717514,0.606544,0.887006,0.843915,
ALIGNN,3,0.528152,0.733711,0.626699,0.889518,0.832463,
ALIGNN,4,0.564064,0.654391,0.538315,0.883853,0.823872,
M3GNet,0,0.525689,0.740113,0.610896,0.878531,0.834232,
M3GNet,1,0.487523,0.742938,0.616988,0.872881,0.817507,
M3GNet,2,0.552548,0.740113,0.614635,0.864407,0.800835,
M3GNet,3,0.495945,0.685552,0.568246,0.878187,0.81528,
M3GNet,4,0.541403,0.764873,0.639818,0.886686,0.829023,
MACE,0,0.376564,0.680791,0.567803,0.90113,0.861711,1.545698
MACE,1,0.343907,0.686441,0.593881,0.920904,0.886953,1.311395
MACE,2,0.438432,0.672316,0.58819,0.90678,0.866172,1.045768
MACE,3,0.338662,0.713881,0.624804,0.903683,0.870344,1.091372
MACE,4,0.437756,0.711048,0.594928,0.926346,0.896746,1.421978
MACE+M3GNet,0,0.237164,0.909605,0.869643,0.968927,0.9569,0.386873
MACE+M3GNet,1,0.229703,0.898305,0.855922,0.977401,0.968257,0.547306
MACE+M3GNet,2,0.278998,0.878531,0.830102,0.977401,0.968257,0.493693
MACE+M3GNet,3,0.242357,0.906516,0.86724,0.946176,0.926687,0.683079
MACE+M3GNet,4,0.305507,0.889518,0.845774,0.977337,0.967956,0.623312
MACE+ALIGNN,0,0.212203,0.920904,0.88382,0.968927,0.9569,0.544115
MACE+ALIGNN,1,0.205738,0.867232,0.821624,0.977401,0.967983,0.484535
MACE+ALIGNN,2,0.24539,0.90113,0.865072,0.971751,0.960654,0.224209
MACE+ALIGNN,3,0.218833,0.869688,0.823208,0.949008,0.929116,0.434626
MACE+ALIGNN,4,0.226735,0.889518,0.844456,0.966006,0.951934,0.589614
