model,fold,oof_bg_mae,reported_bg_mae,abs_diff,n
CGCNN,0,0.6231634528328067,0.623163,4.528328066966125e-07,354
CGCNN,1,0.5257527049325701,0.525753,2.95067429934015e-07,354
CGCNN,2,0.6410547862487977,0.641055,2.1375120229372158e-07,354
CGCNN,3,0.5989686447253751,0.598969,3.5527462483031513e-07,353
CGCNN,4,0.5579984477603637,0.557998,4.4776036367544236e-07,353
ALIGNN,0,0.5787280953066992,0.578728,9.530669919932677e-08,354
ALIGNN,1,0.5782056174150242,0.578206,3.825849758110067e-07,354
ALIGNN,2,0.5319354692390149,0.531935,4.692390148663961e-07,354
ALIGNN,3,0.5281524379790359,0.528152,4.379790359276825e-07,353
ALIGNN,4,0.5640641409961807,0.564064,1.4099618073082354e-07,353
M3GNet,0,0.5256894161377749,0.525689,4.1613777490567827e-07,354
M3GNet,1,0.48752253428943415,0.487523,4.657105658334437e-07,354
M3GNet,2,0.5525479003513308,0.552548,9.964866920508797e-08,354
M3GNet,3,0.4959450790727189,0.495945,7.907271887264145e-08,353
M3GNet,4,0.5414029637195972,0.541403,3.628040279313183e-08,353
MACE,0,0.37656422096862335,0.376564,2.209686233434205e-07,354
MACE,1,0.3439067850357361,0.343907,2.1496426394485013e-07,354
MACE,2,0.4384317542166697,0.438432,2.4578333029934285e-07,354
MACE,3,0.3386624975600526,0.338662,4.975600526035961e-07,353
MACE,4,0.43775592379439515,0.437756,7.620560482646255e-08,353
MACE+M3GNet,0,0.23716347821590905,0.237164,5.217840909621518e-07,354
MACE+M3GNet,1,0.22970289677611058,0.229703,1.032238894083104e-07,354
MACE+M3GNet,2,0.27899765843157787,0.278998,3.4156842215748995e-07,354
MACE+M3GNet,3,0.242356636585363,0.242357,3.6341463699463006e-07,353
MACE+M3GNet,4,0.30550741255593356,0.305507,4.1255593358213716e-07,353
MACE+ALIGNN,0,0.21220302621465742,0.212203,2.6214657417034104e-08,354
MACE+ALIGNN,1,0.20573750848399797,0.205738,4.91516002038006e-07,354
MACE+ALIGNN,2,0.24539012608276947,0.24539,1.2608276947490005e-07,354
MACE+ALIGNN,3,0.21883339654624914,0.218833,3.965462491428706e-07,353
MACE+ALIGNN,4,0.22673462522968058,0.226735,3.7477031941679506e-07,353
